step,time,target_x,target_y,pred_target_x,pred_target_y
0,0.0,6.0,0.0,6.0,0.0
1,0.05,6.0,0.0,6.0,0.0
2,0.1,6.0,0.0,6.0,0.0
3,0.15000000000000002,6.0,0.0,6.0,0.0
4,0.2,6.0,0.0,6.0,0.0
5,0.25,6.0,0.0,6.0,0.0
6,0.30000000000000004,6.0,0.0,6.0,0.0
7,0.35000000000000003,6.0,0.0,6.0,0.0
8,0.4,6.0,0.0,6.0,0.0
9,0.45,6.0,0.0,6.0,0.0
10,0.5,6.0,0.0,6.0,0.0
11,0.55,6.0,0.0,6.0,0.0
12,0.6000000000000001,6.0,0.0,6.0,0.0
13,0.65,6.0,0.0,6.0,0.0
14,0.7000000000000001,6.0,0.0,6.0,0.0
15,0.75,6.0,0.0,6.0,0.0
16,0.8,6.0,0.0,6.0,0.0
17,0.8500000000000001,6.0,0.0,6.0,0.0
18,0.9,6.0,0.0,6.0,0.0
19,0.9500000000000001,6.0,0.0,6.0,0.0
20,1.0,6.0,0.0,6.0,0.0
21,1.05,6.0,0.0,6.0,0.0
22,1.1,6.0,0.0,6.0,0.0
23,1.1500000000000001,6.0,0.0,6.0,0.0
24,1.2000000000000002,6.0,0.0,6.0,0.0
25,1.25,6.0,0.0,6.0,0.0
26,1.3,6.0,0.0,6.0,0.0
27,1.35,6.0,0.0,6.0,0.0
28,1.4000000000000001,6.0,0.0,6.0,0.0
29,1.4500000000000002,6.0,0.0,6.0,0.0
30,1.5,6.0,0.0,6.0,0.0
31,1.55,6.0,0.0,6.0,0.0
32,1.6,6.0,0.0,6.0,0.0
33,1.6500000000000001,6.0,0.0,6.0,0.0
34,1.7000000000000002,6.0,0.0,6.0,0.0
35,1.75,6.0,0.0,6.0,0.0
36,1.8,6.0,0.0,6.0,0.0
37,1.85,6.0,0.0,6.0,0.0
38,1.9000000000000001,6.0,0.0,6.0,0.0
39,1.9500000000000002,6.0,0.0,6.0,0.0
40,2.0,6.0,0.0,6.0,0.0
41,2.0500000000000003,6.0,0.0,6.0,0.0
42,2.1,6.0,0.0,6.0,0.0
43,2.15,6.0,0.0,6.0,0.0
44,2.2,6.0,0.0,6.0,0.0
45,2.25,6.0,0.0,6.0,0.0
46,2.3000000000000003,6.0,0.0,6.0,0.0
47,2.35,6.0,0.0,6.0,0.0
48,2.4000000000000004,6.0,0.0,6.0,0.0
49,2.45,6.0,0.0,6.0,0.0
50,2.5,6.0,0.0,6.0,0.0
51,2.5500000000000003,6.0,0.0,6.0,0.0
52,2.6,6.0,0.0,6.0,0.0
53,2.6500000000000004,6.0,0.0,6.0,0.0
54,2.7,6.0,0.0,6.0,0.0
55,2.75,6.0,0.0,6.0,0.0
56,2.8000000000000003,6.0,0.0,6.0,0.0
57,2.85,6.0,0.0,6.0,0.0
58,2.9000000000000004,6.0,0.0,6.0,0.0
59,2.95,6.0,0.0,6.0,0.0
60,3.0,6.0,0.0,6.0,0.0
61,3.0500000000000003,6.0,0.0,6.0,0.0
62,3.1,6.0,0.0,6.0,0.0
63,3.1500000000000004,6.0,0.0,6.0,0.0
64,3.2,6.0,0.0,6.0,0.0
65,3.25,6.0,0.0,6.0,0.0
66,3.3000000000000003,6.0,0.0,6.0,0.0
67,3.35,6.0,0.0,6.0,0.0
68,3.4000000000000004,6.0,0.0,6.0,0.0
69,3.45,6.0,0.0,6.0,0.0
70,3.5,6.0,0.0,6.0,0.0
71,3.5500000000000003,6.0,0.0,6.0,0.0
72,3.6,6.0,0.0,6.0,0.0
73,3.6500000000000004,6.0,0.0,6.0,0.0
74,3.7,6.0,0.0,6.0,0.0
75,3.75,6.0,0.0,6.0,0.0
76,3.8000000000000003,6.0,0.0,6.0,0.0
77,3.85,6.0,0.0,6.0,0.0
78,3.9000000000000004,6.0,0.0,6.0,0.0
79,3.95,6.0,0.0,6.0,0.0
80,4.0,6.0,0.0,6.0,0.0
81,4.05,6.0,0.0,6.0,0.0
82,4.1000000000000005,6.0,0.0,6.0,0.0
83,4.15,6.0,0.0,6.0,0.0
84,4.2,6.0,0.0,6.0,0.0
85,4.25,6.0,0.0,6.0,0.0
86,4.3,6.0,0.0,6.0,0.0
87,4.3500000000000005,6.0,0.0,6.0,0.0
88,4.4,6.0,0.0,6.0,0.0
89,4.45,6.0,0.0,6.0,0.0
90,4.5,6.0,0.0,6.0,0.0
91,4.55,6.0,0.0,6.0,0.0
92,4.6000000000000005,6.0,0.0,6.0,0.0
93,4.65,6.0,0.0,6.0,0.0
94,4.7,6.0,0.0,6.0,0.0
95,4.75,6.0,0.0,6.0,0.0
96,4.800000000000001,6.0,0.0,6.0,0.0
97,4.8500000000000005,6.0,0.0,6.0,0.0
98,4.9,6.0,0.0,6.0,0.0
99,4.95,6.0,0.0,6.0,0.0
100,5.0,6.0,0.0,6.0,0.0
101,5.050000000000001,6.0,0.0,6.0,0.0
102,5.1000000000000005,6.0,0.0,6.0,0.0
103,5.15,6.0,0.0,6.0,0.0
104,5.2,6.0,0.0,6.0,0.0
105,5.25,6.0,0.0,6.0,0.0
106,5.300000000000001,6.0,0.0,6.0,0.0
107,5.3500000000000005,6.0,0.0,6.0,0.0
108,5.4,6.0,0.0,6.0,0.0
109,5.45,6.0,0.0,6.0,0.0
110,5.5,6.0,0.0,6.0,0.0
111,5.550000000000001,6.0,0.0,6.0,0.0
112,5.6000000000000005,6.0,0.0,6.0,0.0
113,5.65,6.0,0.0,6.0,0.0
114,5.7,6.0,0.0,6.0,0.0
