step,time,agent,omega,rho,psi_tilde,phi
0,0.0,0,0.0,0.9923926467887145,0.9952340470893734,0.0
0,0.0,1,0.0,0.9923926467887145,0.9952340470893734,0.0
0,0.0,2,0.0,0.9923926467887145,0.9952340470893734,0.0
0,0.0,3,0.0,0.9923926467887145,0.9952340470893734,0.0
0,0.0,4,0.0,0.992392646788715,0.9952340470893737,0.0
0,0.0,5,0.0,0.9923926467887145,0.9952340470893734,0.0
1,0.05,0,0.0,0.9924063549028304,0.9952426556516446,0.0
1,0.05,1,0.0,0.9924063549028304,0.9952426556516446,0.0
1,0.05,2,0.0,0.9924063549028304,0.9952426556516446,0.0
1,0.05,3,0.0,0.9924063549028304,0.9952426556516446,0.0
1,0.05,4,0.0,0.9924063549028304,0.9952426556516446,0.0
1,0.05,5,0.0,0.9924063549028304,0.9952426556516446,0.0
2,0.1,0,0.0,0.9924196636381859,0.9952510133367021,0.0
2,0.1,1,0.0,0.9924196636381859,0.9952510133367021,0.0
2,0.1,2,0.0,0.9924196636381859,0.9952510133367021,0.0
2,0.1,3,0.0,0.9924196636381859,0.9952510133367021,0.0
2,0.1,4,0.0,0.9924196636381859,0.9952510133367021,0.0
2,0.1,5,0.0,0.9924196636381859,0.9952510133367021,0.0
3,0.15000000000000002,0,0.0,0.9924325715606708,0.9952591192502777,0.0
3,0.15000000000000002,1,0.0,0.9924325715606708,0.9952591192502777,0.0
3,0.15000000000000002,2,0.0,0.9924325715606708,0.9952591192502777,0.0
3,0.15000000000000002,3,0.0,0.9924325715606708,0.9952591192502777,0.0
3,0.15000000000000002,4,0.0,0.992432571560671,0.9952591192502779,0.0
3,0.15000000000000002,5,0.0,0.9924325715606708,0.9952591192502777,0.0
4,0.2,0,0.0,0.9924450772395736,0.995266972500076,0.0
4,0.2,1,0.0,0.9924450772395736,0.995266972500076,0.0
4,0.2,2,0.0,0.9924450772395736,0.995266972500076,0.0
4,0.2,3,0.0,0.9924450772395736,0.995266972500076,0.0
4,0.2,4,0.0,0.9924450772395736,0.995266972500076,0.0
4,0.2,5,0.0,0.9924450772395736,0.995266972500076,0.0
5,0.25,0,0.0,0.9924571792464951,0.9952745721950897,0.0
5,0.25,1,0.0,0.9924571792464951,0.9952745721950897,0.0
5,0.25,2,0.0,0.9924571792464951,0.9952745721950897,0.0
5,0.25,3,0.0,0.9924571792464951,0.9952745721950897,0.0
5,0.25,4,0.0,0.9924571792464951,0.9952745721950897,0.0
5,0.25,5,0.0,0.9924571792464951,0.9952745721950897,0.0
6,0.30000000000000004,0,0.0,0.9924688761542444,0.9952819174449044,0.0
6,0.30000000000000004,1,0.0,0.9924688761542444,0.9952819174449044,0.0
6,0.30000000000000004,2,0.0,0.9924688761542444,0.9952819174449044,0.0
6,0.30000000000000004,3,0.0,0.9924688761542444,0.9952819174449044,0.0
6,0.30000000000000004,4,0.0,0.9924688761542437,0.995281917444904,0.0
6,0.30000000000000004,5,0.0,0.9924688761542442,0.9952819174449042,0.0
7,0.35000000000000003,0,0.0,0.9924801665357126,0.9952890073589885,0.0
7,0.35000000000000003,1,0.0,0.9924801665357126,0.9952890073589885,0.0
7,0.35000000000000003,2,0.0,0.9924801665357126,0.9952890073589885,0.0
7,0.35000000000000003,3,0.0,0.9924801665357126,0.9952890073589885,0.0
7,0.35000000000000003,4,0.0,0.9924801665357126,0.9952890073589885,0.0
7,0.35000000000000003,5,0.0,0.992480166535713,0.9952890073589887,0.0
8,0.4,0,0.0,0.9924910489627383,0.995295841045979,0.0
8,0.4,1,0.0,0.9924910489627383,0.995295841045979,0.0
8,0.4,2,0.0,0.9924910489627383,0.995295841045979,0.0
8,0.4,3,0.0,0.9924910489627383,0.995295841045979,0.0
8,0.4,4,0.0,0.9924910489627383,0.995295841045979,0.0
8,0.4,5,0.0,0.9924910489627383,0.995295841045979,0.0
9,0.45,0,0.0,0.9925015220049462,0.9953024176129498,0.0
9,0.45,1,0.0,0.9925015220049462,0.9953024176129498,0.0
9,0.45,2,0.0,0.9925015220049462,0.9953024176129498,0.0
9,0.45,3,0.0,0.9925015220049462,0.9953024176129498,0.0
9,0.45,4,0.0,0.9925015220049462,0.9953024176129498,0.0
9,0.45,5,0.0,0.9925015220049462,0.9953024176129498,0.0
10,0.5,0,0.0,0.9925115842285777,0.9953087361646746,0.0
10,0.5,1,0.0,0.9925115842285777,0.9953087361646746,0.0
10,0.5,2,0.0,0.9925115842285777,0.9953087361646746,0.0
10,0.5,3,0.0,0.9925115842285777,0.9953087361646746,0.0
10,0.5,4,0.0,0.9925115842285777,0.9953087361646746,0.0
10,0.5,5,0.0,0.9925115842285777,0.9953087361646747,0.0
11,0.55,0,0.0,0.992521234195304,0.9953147958028806,0.0
11,0.55,1,0.0,0.992521234195304,0.9953147958028806,0.0
11,0.55,2,0.0,0.992521234195304,0.9953147958028806,0.0
11,0.55,3,0.0,0.992521234195304,0.9953147958028806,0.0
11,0.55,4,0.0,0.9925212341953042,0.9953147958028808,0.0
11,0.55,5,0.0,0.992521234195304,0.9953147958028806,0.0
12,0.6000000000000001,0,0.0,0.9925304704610245,0.9953205956254902,0.0
12,0.6000000000000001,1,0.0,0.9925304704610245,0.9953205956254902,0.0
12,0.6000000000000001,2,0.0,0.9925304704610245,0.9953205956254902,0.0
12,0.6000000000000001,3,0.0,0.9925304704610245,0.9953205956254902,0.0
12,0.6000000000000001,4,0.0,0.9925304704610245,0.9953205956254902,0.0
12,0.6000000000000001,5,0.0,0.9925304704610245,0.9953205956254902,0.0
13,0.65,0,0.0,0.9925392915746534,0.995326134725858,0.0
13,0.65,1,0.0,0.9925392915746534,0.995326134725858,0.0
13,0.65,2,0.0,0.9925392915746534,0.995326134725858,0.0
13,0.65,3,0.0,0.9925392915746534,0.995326134725858,0.0
13,0.65,4,0.0,0.9925392915746534,0.995326134725858,0.0
13,0.65,5,0.0,0.9925392915746534,0.995326134725858,0.0
14,0.7000000000000001,0,0.0,0.9925476960768915,0.9953314121919966,0.0
14,0.7000000000000001,1,0.0,0.9925476960768915,0.9953314121919966,0.0
14,0.7000000000000001,2,0.0,0.9925476960768915,0.9953314121919966,0.0
14,0.7000000000000001,3,0.0,0.9925476960768915,0.9953314121919966,0.0
14,0.7000000000000001,4,0.0,0.9925476960768915,0.9953314121919966,0.0
14,0.7000000000000001,5,0.0,0.9925476960768915,0.9953314121919966,0.0
15,0.75,0,0.0,0.9925556824989876,0.9953364271057974,0.0
15,0.75,1,0.0,0.9925556824989876,0.9953364271057974,0.0
15,0.75,2,0.0,0.9925556824989876,0.9953364271057974,0.0
15,0.75,3,0.0,0.9925556824989876,0.9953364271057975,0.0
15,0.75,4,0.0,0.9925556824989876,0.9953364271057974,0.0
15,0.75,5,0.0,0.9925556824989876,0.9953364271057974,0.0
16,0.8,0,0.0,0.9925632493614889,0.9953411785422429,0.0
16,0.8,1,0.0,0.9925632493614889,0.9953411785422429,0.0
16,0.8,2,0.0,0.9925632493614889,0.9953411785422429,0.0
16,0.8,3,0.0,0.9925632493614889,0.9953411785422429,0.0
16,0.8,4,0.0,0.9925632493614889,0.9953411785422429,0.0
16,0.8,5,0.0,0.9925632493614889,0.9953411785422429,0.0
17,0.8500000000000001,0,0.0,0.9925703951729774,0.9953456655686113,0.0
17,0.8500000000000001,1,0.0,0.9925703951729774,0.9953456655686113,0.0
17,0.8500000000000001,2,0.0,0.9925703951729774,0.9953456655686113,0.0
17,0.8500000000000001,3,0.0,0.992570395172977,0.9953456655686109,0.0
17,0.8500000000000001,4,0.0,0.992570395172977,0.9953456655686109,0.0
17,0.8500000000000001,5,0.0,0.9925703951729774,0.9953456655686113,0.0
18,0.9,0,0.0,0.9925771184287988,0.995349887243676,0.0
18,0.9,1,0.0,0.9925771184287988,0.995349887243676,0.0
