step,time,agent,omega,rho,psi_tilde,phi
0,0.0,0,0.0,1.0,0.9984200087649611,0.0
0,0.0,1,0.0,1.0,0.9984200087649611,0.0
0,0.0,2,0.0,1.0,0.9984200087649611,0.0
0,0.0,3,0.0,1.0,0.998420008764961,0.0
0,0.0,4,0.0,1.0,0.9984200087649611,0.0
0,0.0,5,0.0,1.0,0.998420008764961,0.0
1,0.05,0,0.0,1.0,0.9984651948971042,0.0
1,0.05,1,0.0,1.0,0.9984651948971042,0.0
1,0.05,2,0.0,1.0,0.9984651948971042,0.0
1,0.05,3,0.0,1.0,0.9984651948971042,0.0
1,0.05,4,0.0,1.0,0.9984651948971041,0.0
1,0.05,5,0.0,1.0,0.9984651948971042,0.0
2,0.1,0,0.0,1.0,0.9985043261318861,0.0
2,0.1,1,0.0,1.0,0.9985043261318861,0.0
2,0.1,2,0.0,1.0,0.9985043261318861,0.0
2,0.1,3,0.0,1.0,0.9985043261318861,0.0
2,0.1,4,0.0,1.0,0.9985043261318861,0.0
2,0.1,5,0.0,1.0,0.9985043261318861,0.0
3,0.15000000000000002,0,0.0,1.0,0.9985379928820635,0.0
3,0.15000000000000002,1,0.0,1.0,0.9985379928820635,0.0
3,0.15000000000000002,2,0.0,1.0,0.9985379928820635,0.0
3,0.15000000000000002,3,0.0,1.0,0.9985379928820635,0.0
3,0.15000000000000002,4,0.0,1.0,0.9985379928820635,0.0
3,0.15000000000000002,5,0.0,1.0,0.9985379928820635,0.0
4,0.2,0,0.0,1.0,0.9985667927750805,0.0
4,0.2,1,0.0,1.0,0.9985667927750805,0.0
4,0.2,2,0.0,1.0,0.9985667927750805,0.0
4,0.2,3,0.0,1.0,0.9985667927750805,0.0
4,0.2,4,0.0,1.0,0.9985667927750805,0.0
4,0.2,5,0.0,1.0,0.9985667927750805,0.0
5,0.25,0,0.0,1.0,0.9985913145997757,0.0
5,0.25,1,0.0,1.0,0.9985913145997757,0.0
5,0.25,2,0.0,1.0,0.9985913145997757,0.0
5,0.25,3,0.0,1.0,0.9985913145997757,0.0
5,0.25,4,0.0,1.0,0.9985913145997757,0.0
5,0.25,5,0.0,1.0,0.9985913145997758,0.0
6,0.30000000000000004,0,0.0,1.0,0.9986121255184531,0.0
6,0.30000000000000004,1,0.0,1.0,0.9986121255184531,0.0
6,0.30000000000000004,2,0.0,1.0,0.9986121255184529,0.0
6,0.30000000000000004,3,0.0,1.0,0.9986121255184529,0.0
6,0.30000000000000004,4,0.0,1.0,0.9986121255184529,0.0
6,0.30000000000000004,5,0.0,1.0,0.9986121255184529,0.0
7,0.35000000000000003,0,0.0,1.0,0.9986297619124218,0.0
7,0.35000000000000003,1,0.0,1.0,0.9986297619124218,0.0
7,0.35000000000000003,2,0.0,1.0,0.9986297619124218,0.0
7,0.35000000000000003,3,0.0,1.0,0.9986297619124219,0.0
7,0.35000000000000003,4,0.0,1.0,0.9986297619124219,0.0
