step,time,agent,x,y,ux,uy
0,0.0,0,-6.088267075925242,-1.5580019712195552,0.6870022074080274,0.5572009617978056
0,0.0,1,-6.162544420585444,-0.8786419314884486,0.6161431344140278,0.3183154503559343
0,0.0,2,-6.019886458355111,-0.289881355879052,0.7985928139239751,0.0334922181450407
0,0.0,3,-5.932556594335653,0.36863492395806147,0.8382865507071978,-0.29187284468615277
0,0.0,4,-6.061985308644113,0.8639385121534067,0.6354278051427186,-0.3140933127846123
0,0.0,5,-6.0603945825459,1.4348148714128728,0.6944161314853401,-0.3445253448592093
1,0.05,0,-6.053916965554841,-1.530141923129665,0.707038491815553,0.5086029970132205
1,0.05,1,-6.131737263864743,-0.8627261589706519,0.6063306543850671,0.27505427117423276
1,0.05,2,-5.979956817658912,-0.2882067449718,0.8041840740037807,0.02398402892518981
1,0.05,3,-5.890642266800293,0.3540412817237538,0.8530984309977606,-0.25217507397942196
1,0.05,4,-6.030213918386977,0.8482338465141761,0.6317522812901747,-0.2734459446394687
1,0.05,5,-6.025673775971633,1.4175886041699124,0.7018906474013569,-0.3067948175430204
2,0.1,0,-6.018565040964063,-1.5047117732790039,0.7248853247573134,0.4601661889583631
2,0.1,1,-6.101420731145489,-0.8489734454119402,0.592698099192257,0.23774302062901326
2,0.1,2,-5.939747613958723,-0.2870075435255405,0.8098402754945775,0.01603638719100255
2,0.1,3,-5.847987345250405,0.34143252802478274,0.8660841015325623,-0.21668544990836688
2,0.1,4,-5.998626304322468,0.8345615492822027,0.6251748190767445,-0.2375272629338147
2,0.1,5,-5.990579243601565,1.4022488632927614,0.7082503106682115,-0.27164394493052124
3,0.15000000000000002,0,-5.9823207747261975,-1.4817034638310858,0.7405583915787741,0.41315017989424724
3,0.15000000000000002,1,-6.071785826185876,-0.8370862943804895,0.5754468394784373,0.20627519112268117
3,0.15000000000000002,2,-5.899255600183994,-0.2862057241659903,0.8156248628420423,0.009192772155698204
3,0.15000000000000002,3,-5.804683140173777,0.3305982555293644,0.8775267319567948,-0.18524532566359317
3,0.15000000000000002,4,-5.967367563368631,0.822685186135512,0.6158869626788765,-0.20645508474699728
3,0.15000000000000002,5,-5.955166728068154,1.3886666660462355,0.71371063674928,-0.23940559162445396
4,0.2,0,-5.945292855147259,-1.4610459548363735,0.7542229143566558,0.3686401756971733
4,0.2,1,-6.043013484211954,-0.8267725348243555,0.5546708455298591,0.18032397584842724
4,0.2,2,-5.858474357041892,-0.2857460855582054,0.821589384671835,0.0030679637533540466
4,0.2,3,-5.760806803575938,0.32133598924618473,0.88767377109382,-0.15756144672365838
4,0.2,4,-5.936573215234687,0.8123624318981622,0.6040305744562785,-0.18014670990458098
4,0.2,5,-5.919481196230691,1.3766963864650128,0.7184947637743749,-0.210264387106529
5,0.25,0,-5.907581709429426,-1.4426139460515148,0.7661423861167604,0.32747221123278775
5,0.25,1,-6.015279941935462,-0.8177563360319342,0.5303717403702006,0.1594581834262968
5,0.25,2,-5.817394887808301,-0.2855926873705377,0.8277705582094619,-0.002661199213430055
5,0.25,3,-5.716423115021247,0.3134579169100018,0.8967308303293945,-0.133266236945089
5,0.25,4,-5.906371686511873,0.8033550964029331,0.5896896288682683,-0.15838421146349246
5,0.25,5,-5.883556458041972,1.3661831671096865,0.7228184726617819,-0.18427716680016845
6,0.30000000000000004,0,-5.869274590123588,-1.4262403354898754,0.7766234648087431,0.2902125535148024
6,0.30000000000000004,1,-5.988761354916952,-0.8097834268606193,0.5024924071310836,0.14322080993904865
6,0.30000000000000004,2,-5.776006359897828,-0.2857257473312092,0.8341864459377509,-0.008265521733420288
6,0.30000000000000004,3,-5.671586573504777,0.30679460506274736,0.9048622758422092,-0.11196336158897847
6,0.30000000000000004,4,-5.87688720506846,0.7954358858297585,0.5728931630208332,-0.1408692147688847
6,0.30000000000000004,5,-5.847415534408883,1.3569693087696781,0.7268797459806474,-0.161401569236544
7,0.35000000000000003,0,-5.830443416883151,-1.4117297078141353,0.7859682829639206,0.2571798369213675
7,0.35000000000000003,1,-5.963636734560398,-0.8026223863636669,0.4709659600237265,0.1311743519847827
7,0.35000000000000003,2,-5.73429703760094,-0.2861390234178802,0.8408321177479352,-0.01397152807469283
7,0.35000000000000003,3,-5.6263434597126665,0.30119643698329845,0.9121953345048056,-0.09325950097325542
7,0.35000000000000003,4,-5.848242546917418,0.7883924250913144,0.5536265293520626,-0.12726374649519076
7,0.35000000000000003,5,-5.811071547109851,1.3488992303078509,0.7308522630443411,-0.14152685724480715
8,0.4,0,-5.791145002734955,-1.398870715968067,0.7944394714395433,0.2284910277252318
8,0.4,1,-5.940088436559211,-0.7960636687644278,0.4357804087951425,0.12292053965648185
8,0.4,2,-5.692255431713543,-0.2868375998216149,0.8476753684815229,-0.01996614823889836
8,0.4,3,-5.580733692987426,0.2965334619346357,0.9188255884755595,-0.07678475554981866
8,0.4,4,-5.8205612204498145,0.7820292377665549,0.531849340498928,-0.11721710224033563
8,0.4,5,-5.774528933957634,1.3418228874456104,0.7348816779379622,-0.124502594858426
9,0.45,0,-5.751423029162978,-1.3874461645818053,0.8022382996285864,0.20411313383100155
9,0.45,1,-5.918299416119454,-0.7899176417816037,0.3970596265462318,0.11810167285808594
9,0.45,2,-5.649871663289467,-0.2878359072335598,0.8546533461441688,-0.026396748543022968
9,0.45,3,-5.534792413563648,0.29269422415714474,0.9248226176538389,-0.06220442050212757
9,0.45,4,-5.793968753424868,0.7761683826545381,0.5075196892466708,-0.11038034236384443
9,0.45,5,-5.737784850060736,1.3355977577026892,0.7390834376511758,-0.11016256368385609
10,0.5,0,-5.711311114181548,-1.3772405078902552,0.8094939026097601,0.18390783083278045
10,0.5,1,-5.898446434792143,-0.7840125581386994,0.3551572183981013,0.11638917273548377
10,0.5,2,-5.607138995982258,-0.2891557446607109,0.8616712813758454,-0.033365917231382713
10,0.5,3,-5.488551282680956,0.28958400313203836,0.9302351816276346,-0.049224592441538165
10,0.5,4,-5.7685927689625345,0.7706493655363459,0.48062491614457203,-0.10641066929391675
10,0.5,5,-5.7008306781781775,1.3300896295184963,0.7435411126194632,-0.09834270880819124
11,0.55,0,-5.67083641905106,-1.3680451163486163,0.8162613125787168,0.16766235782060185
11,0.55,1,-5.880688573872238,-0.7781930995019253,0.3107511185436495,0.11746398498024789
11,0.55,2,-5.5640554319134665,-0.29082404052228006,0.8686047571978219,-0.04092141750771678
11,0.55,3,-5.442039523599575,0.28712277350996146,0.9350957451536536,-0.03759356254344953
11,0.55,4,-5.744561523155306,0.76532883207165,0.45121905892938724,-0.10496814819222644
11,0.55,5,-5.663653622547204,1.3251724940780867,0.7483045936927277,-0.08889275947331342
12,0.6000000000000001,0,-5.630023353422124,-1.3596619984575862,0.8225268787729513,0.15510544804778847
12,0.6000000000000001,1,-5.865151017945055,-0.7723199002529129,0.2649147480799103,0.12099365744281063
12,0.6000000000000001,2,-5.520625194053576,-0.2928701113976659,0.8753068575712675,-0.049043208322366305
12,0.6000000000000001,3,-5.395284736341892,0.28524309538278897,0.9394243928108335,-0.027100444265253716
12,0.6000000000000001,4,-5.722000570208836,0.7600804246620387,0.4194658702902054,-0.1057074278690441
12,0.6000000000000001,5,-5.626238392862568,1.3207278561044211,0.7533879702273389,-0.08168154206719543
13,0.65,0,-5.5888970094834765,-1.3519067260551967,0.8282205085024333,0.1459114003541959
13,0.65,1,-5.85190528054106,-0.7662702173807723,0.21913094412138273,0.12661184248750743
13,0.65,2,-5.476859851175012,-0.29532227181378423,0.8816207641228517,-0.057631325293926436
13,0.65,3,-5.34831351670135,0.2838880731695263,0.9432322886568187,-0.017572124517387794
13,0.65,4,-5.701027276694326,0.7547950532685865,0.3856837851307941,-0.1082675264141303
13,0.65,5,-5.588568994351201,1.3166437790010614,0.7587673984219351,-0.07659612767481862
14,0.7000000000000001,0,-5.547485984058355,-1.344611156037487,0.833234136108098,0.1396986464953308
14,0.7000000000000001,1,-5.840948733334991,-0.7599396252563969,0.17521728523954683,0.13390634733918652
14,0.7000000000000001,2,-5.43277881296887,-0.29820383807848055,0.8873967782467858,-0.06650007193308981
14,0.7000000000000001,3,-5.30115190226851,0.2830094669436569,0.9465248419560265,-0.008869454261665698
14,0.7000000000000001,4,-5.681743087437786,0.74938167694788,0.35038571646351063,-0.11226333069925763
14,0.7000000000000001,5,-5.550630624430104,1.3128139726173205,0.7643797593618017,-0.07353513705532319
15,0.75,0,-5.50582427725295,-1.3376262237127203,0.8374446419718122,0.13603074528267467
15,0.75,1,-5.832187869073014,-0.7532443078894376,0.13515392832681333,0.1424201397224465
15,0.75,2,-5.388408974056531,-0.30152884167513505,0.8925106780783394,-0.07538416634642588
15,0.75,3,-5.253825660170708,0.28256599423057366,0.9493046640214887,-0.0008835073271956379
15,0.75,4,-5.66422380161461,0.7437685104129171,0.3143030953711362,-0.11728285072663582
15,0.75,5,-5.512411636462014,1.3091372157645542,0.7701233136297178,-0.07239703415756193
16,0.8,0,-5.463952045154359,-1.3308246864485866,0.84073765300622,0.13442659334704707
16,0.8,1,-5.825430172656673,-0.7461233009033154,0.10084360514759089,0.15166554198898882
16,0.8,2,-5.343783440152614,-0.30529804999245636,0.8968787828919204,-0.08396005278284988
16,0.8,3,-5.206360426969634,0.2825218188642139,0.9515742798313742,0.0064674823547966435
16,0.8,4,-5.648508646846053,0.7379043678765853,0.27838208214906474,-0.12289380167989082
16,0.8,5,-5.473905470780528,1.3055173640566762,0.775861724059876,-0.07306517828282681
17,0.8500000000000001,0,-5.421915162504049,-1.3241033567812344,0.8430275319168429,0.13438242978184772
17,0.8500000000000001,1,-5.820387992399294,-0.738540023803866,0.07386731892695901,0.1611470729198551
17,0.8500000000000001,2,-5.298939501008018,-0.30949605263159885,0.9004653131534903,-0.09188065058085931
17,0.8500000000000001,3,-5.158781712978065,0.2828451929819537,0.9533384451866225,0.013240414002531826
17,0.8500000000000001,4,-5.6345895427386,0.7317596777925908,0.24374261122419494,-0.12866111264085264
17,0.8500000000000001,5,-5.4351123845775335,1.3018641051425348,0.7814325161593955,-0.07539256226990813
18,0.9,0,-5.379763785908207,-1.3173842352921419,0.8442695668475446,0.13540246258866115
18,0.9,1,-5.8166946264529455,-0.7304826701578732,0.05530418664126386,0.17038607881735265
18,0.9,2,-5.253916235350344,-0.3140900851606418,0.9032800259191125,-0.0988165050406685
18,0.9,3,-5.111114790718734,0.2835072136820803,0.9546058718491481,0.019469452985477555
18,0.9,4,-5.62240241217739,0.7253266221605481,0.21159894248999525,-0.13417347913811487
18,0.9,5,-5.396040758769564,1.2980944770290395,0.7866601185201141,-0.07918998518171541
19,0.9500000000000001,0,-5.337550307565829,-1.3106141121627088,0.8444628932037642,0.13703069295135642
19,0.9500000000000001,1,-5.813929417120883,-0.7219633662170055,0.04565461881169646,0.17894186407430188
19,0.9500000000000001,2,-5.208752234054388,-0.31903091041267523,0.9053676110961049,-0.1044936464709303
19,0.9500000000000001,3,-5.063384497126276,0.2844806863313542,0.9553902081384906,0.025169047759525862
19,0.9500000000000001,4,-5.6118224650528905,0.7186179482036423,0.18315185332902534,-0.13907325008257437
19,0.9500000000000001,5,-5.356707752843558,1.2941349777699538,0.7913722004264988,-0.08422123274973492
20,1.0,0,-5.29532716290564,-1.3037625775151411,0.8436456619149271,0.13887608891800104
20,1.0,1,-5.811646686180298,-0.7130162730132904,0.04486321252828035,0.18642778124163456
20,1.0,2,-5.163483853499582,-0.32425559273622173,0.9067930123647266,-0.10871999060588736
20,1.0,3,-5.015614986719352,0.2857391387193305,0.9557102450887354,0.030338622885834506
20,1.0,4,-5.602664872386439,0.7116642856995136,0.15947268290029043,-0.1430817944030578
20,1.0,5,-5.317139142822233,1.2899239161324672,0.7954166337997547,-0.0902073501076092
21,1.05,0,-5.253144879809894,-1.296818773069241,0.8418858080854779,0.14062641024277917
