step,time,agent,omega,rho,psi_tilde,phi
0,0.0,0,0.0,0.9974740111217799,0.9984200087649611,0.0
0,0.0,1,0.0,0.9974740111217799,0.9984200087649611,0.0
0,0.0,2,0.0,0.9974740111217799,0.9984200087649611,0.0
0,0.0,3,0.0,0.9974740111217797,0.998420008764961,0.0
0,0.0,4,0.0,0.9974740111217799,0.9984200087649611,0.0
0,0.0,5,0.0,0.9974740111217797,0.998420008764961,0.0
1,0.05,0,0.0,0.9975460394751938,0.998465096707938,0.0
1,0.05,1,0.0,0.9975460394751938,0.998465096707938,0.0
1,0.05,2,0.0,0.9975460394751938,0.998465096707938,0.0
1,0.05,3,0.0,0.9975460394751938,0.998465096707938,0.0
1,0.05,4,0.0,0.9975460394751938,0.998465096707938,0.0
1,0.05,5,0.0,0.9975460394751938,0.998465096707938,0.0
2,0.1,0,0.0,0.9976084376047036,0.9985041547263984,0.0
2,0.1,1,0.0,0.9976084376047036,0.9985041547263984,0.0
2,0.1,2,0.0,0.9976084376047036,0.9985041547263984,0.0
2,0.1,3,0.0,0.9976084376047036,0.9985041547263984,0.0
2,0.1,4,0.0,0.9976084376047036,0.9985041547263984,0.0
2,0.1,5,0.0,0.9976084376047036,0.9985041547263984,0.0
3,0.15000000000000002,0,0.0,0.9976621415147875,0.9985377693875602,0.0
3,0.15000000000000002,1,0.0,0.9976621415147875,0.9985377693875602,0.0
3,0.15000000000000002,2,0.0,0.9976621415147875,0.9985377693875602,0.0
3,0.15000000000000002,3,0.0,0.9976621415147875,0.9985377693875602,0.0
3,0.15000000000000002,4,0.0,0.9976621415147875,0.9985377693875602,0.0
3,0.15000000000000002,5,0.0,0.9976621415147873,0.99853776938756,0.0
4,0.2,0,0.0,0.9977080989493639,0.9985665344315845,0.0
4,0.2,1,0.0,0.9977080989493639,0.9985665344315845,0.0
4,0.2,2,0.0,0.9977080989493639,0.9985665344315845,0.0
4,0.2,3,0.0,0.9977080989493639,0.9985665344315845,0.0
4,0.2,4,0.0,0.9977080989493639,0.9985665344315845,0.0
4,0.2,5,0.0,0.9977080989493639,0.9985665344315845,0.0
5,0.25,0,0.0,0.99774724398068,0.9985910348965937,0.0
