step,time,agent,omega,rho,psi_tilde,phi
0,0.0,0,0.0,0.9923926467887145,0.9952340470893734,0.0
0,0.0,1,0.0,0.9923926467887145,0.9952340470893734,0.0
0,0.0,2,0.0,0.9923926467887145,0.9952340470893734,0.0
0,0.0,3,0.0,0.9923926467887145,0.9952340470893734,0.0
0,0.0,4,0.0,0.992392646788715,0.9952340470893737,0.0
0,0.0,5,0.0,0.9923926467887145,0.9952340470893734,0.0
1,0.05,0,0.0,0.9924423717192712,0.9952652735070631,0.0
1,0.05,1,0.0,0.9924423717192712,0.9952652735070631,0.0
1,0.05,2,0.0,0.9924423717192712,0.9952652735070631,0.0
1,0.05,3,0.0,0.9924423717192712,0.9952652735070631,0.0
1,0.05,4,0.0,0.9924423717192712,0.9952652735070631,0.0
1,0.05,5,0.0,0.9924423717192712,0.9952652735070631,0.0
2,0.1,0,0.0,0.992491587053576,0.9952961789422131,0.0
2,0.1,1,0.0,0.992491587053576,0.9952961789422131,0.0
2,0.1,2,0.0,0.992491587053576,0.9952961789422131,0.0
2,0.1,3,0.0,0.992491587053576,0.9952961789422131,0.0
2,0.1,4,0.0,0.992491587053576,0.9952961789422131,0.0
2,0.1,5,0.0,0.9924915870535762,0.9952961789422132,0.0
3,0.15000000000000002,0,0.0,0.9925402903320719,0.9953267618802831,0.0
3,0.15000000000000002,1,0.0,0.9925402903320719,0.9953267618802831,0.0
3,0.15000000000000002,2,0.0,0.9925402903320719,0.9953267618802831,0.0
3,0.15000000000000002,3,0.0,0.9925402903320719,0.9953267618802831,0.0
3,0.15000000000000002,4,0.0,0.9925402903320724,0.9953267618802834,0.0
3,0.15000000000000002,5,0.0,0.9925402903320719,0.9953267618802831,0.0
4,0.2,0,0.0,0.9925884791586408,0.9953570208464403,0.0
4,0.2,1,0.0,0.9925884791586408,0.9953570208464403,0.0
4,0.2,2,0.0,0.9925884791586408,0.9953570208464403,0.0
4,0.2,3,0.0,0.9925884791586403,0.99535702084644,0.0
4,0.2,4,0.0,0.9925884791586408,0.9953570208464403,0.0
4,0.2,5,0.0,0.9925884791586408,0.9953570208464403,0.0
5,0.25,0,0.0,0.9926361512010797,0.9953869544058479,0.0
5,0.25,1,0.0,0.9926361512010797,0.9953869544058479,0.0
5,0.25,2,0.0,0.9926361512010797,0.9953869544058479,0.0
5,0.25,3,0.0,0.99263615120108,0.995386954405848,0.0
5,0.25,4,0.0,0.99263615120108,0.995386954405848,0.0
5,0.25,5,0.0,0.9926361512010797,0.9953869544058479,0.0
6,0.30000000000000004,0,0.0,0.9926833041915233,0.99541656116392,0.0
6,0.30000000000000004,1,0.0,0.9926833041915233,0.99541656116392,0.0
6,0.30000000000000004,2,0.0,0.9926833041915233,0.99541656116392,0.0
6,0.30000000000000004,3,0.0,0.9926833041915233,0.99541656116392,0.0
6,0.30000000000000004,4,0.0,0.9926833041915233,0.99541656116392,0.0
6,0.30000000000000004,5,0.0,0.9926833041915233,0.99541656116392,0.0
7,0.35000000000000003,0,0.0,0.992729935926802,0.9954458397665352,0.0
7,0.35000000000000003,1,0.0,0.992729935926802,0.9954458397665352,0.0
7,0.35000000000000003,2,0.0,0.9927299359268018,0.9954458397665351,0.0
7,0.35000000000000003,3,0.0,0.9927299359268018,0.9954458397665351,0.0
7,0.35000000000000003,4,0.0,0.992729935926802,0.9954458397665352,0.0
7,0.35000000000000003,5,0.0,0.992729935926802,0.9954458397665352,0.0
8,0.4,0,0.0,0.9927760442687437,0.995474788900216,0.0
8,0.4,1,0.0,0.9927760442687437,0.995474788900216,0.0
8,0.4,2,0.0,0.9927760442687437,0.995474788900216,0.0
8,0.4,3,0.0,0.9927760442687437,0.9954747889002159,0.0
8,0.4,4,0.0,0.9927760442687437,0.9954747889002159,0.0
8,0.4,5,0.0,0.9927760442687437,0.995474788900216,0.0
9,0.45,0,0.0,0.9928216271444132,0.9955034072922686,0.0
9,0.45,1,0.0,0.9928216271444132,0.9955034072922686,0.0
9,0.45,2,0.0,0.9928216271444132,0.9955034072922686,0.0
9,0.45,3,0.0,0.9928216271444132,0.9955034072922686,0.0
9,0.45,4,0.0,0.9928216271444132,0.9955034072922686,0.0
9,0.45,5,0.0,0.992821627144413,0.9955034072922685,0.0
10,0.5,0,0.0,0.9928666825462897,0.9955316937108843,0.0
10,0.5,1,0.0,0.9928666825462897,0.9955316937108843,0.0
10,0.5,2,0.0,0.9928666825462897,0.9955316937108845,0.0
10,0.5,3,0.0,0.9928666825462897,0.9955316937108845,0.0
10,0.5,4,0.0,0.9928666825462897,0.9955316937108845,0.0
10,0.5,5,0.0,0.99286668254629,0.9955316937108846,0.0
11,0.55,0,0.0,0.9929112085323821,0.995559646965202,0.0
11,0.55,1,0.0,0.9929112085323821,0.995559646965202,0.0
11,0.55,2,0.0,0.9929112085323821,0.995559646965202,0.0
11,0.55,3,0.0,0.9929112085323821,0.995559646965202,0.0
11,0.55,4,0.0,0.9929112085323821,0.995559646965202,0.0
11,0.55,5,0.0,0.9929112085323821,0.995559646965202,0.0
12,0.6000000000000001,0,0.0,0.9929552032262767,0.9955872659053279,0.0
12,0.6000000000000001,1,0.0,0.9929552032262767,0.9955872659053279,0.0
12,0.6000000000000001,2,0.0,0.9929552032262767,0.9955872659053279,0.0
12,0.6000000000000001,3,0.0,0.9929552032262767,0.9955872659053279,0.0
12,0.6000000000000001,4,0.0,0.9929552032262767,0.9955872659053279,0.0
12,0.6000000000000001,5,0.0,0.9929552032262767,0.9955872659053279,0.0
13,0.65,0,0.0,0.9929986648171243,0.995614549422318,0.0
13,0.65,1,0.0,0.9929986648171243,0.995614549422318,0.0
13,0.65,2,0.0,0.9929986648171243,0.995614549422318,0.0
13,0.65,3,0.0,0.9929986648171243,0.995614549422318,0.0
13,0.65,4,0.0,0.9929986648171243,0.995614549422318,0.0
13,0.65,5,0.0,0.9929986648171243,0.995614549422318,0.0
14,0.7000000000000001,0,0.0,0.9930415915595565,0.995641496448117,0.0
14,0.7000000000000001,1,0.0,0.9930415915595565,0.995641496448117,0.0
14,0.7000000000000001,2,0.0,0.9930415915595565,0.995641496448117,0.0
14,0.7000000000000001,3,0.0,0.9930415915595565,0.995641496448117,0.0
14,0.7000000000000001,4,0.0,0.9930415915595565,0.995641496448117,0.0
14,0.7000000000000001,5,0.0,0.9930415915595565,0.995641496448117,0.0
15,0.75,0,0.0,0.993083981773544,0.9956681059554583,0.0
15,0.75,1,0.0,0.993083981773544,0.9956681059554583,0.0
15,0.75,2,0.0,0.993083981773544,0.9956681059554583,0.0
15,0.75,3,0.0,0.9930839817735435,0.9956681059554581,0.0
15,0.75,4,0.0,0.9930839817735435,0.9956681059554581,0.0
15,0.75,5,0.0,0.9930839817735435,0.9956681059554581,0.0
16,0.8,0,0.0,0.9931258338441762,0.995694376957719,0.0
16,0.8,1,0.0,0.9931258338441762,0.995694376957719,0.0
16,0.8,2,0.0,0.9931258338441762,0.995694376957719,0.0
16,0.8,3,0.0,0.9931258338441762,0.995694376957719,0.0
16,0.8,4,0.0,0.9931258338441762,0.995694376957719,0.0
16,0.8,5,0.0,0.9931258338441762,0.995694376957719,0.0
17,0.8500000000000001,0,0.0,0.9931671462213847,0.9957203085087353,0.0
17,0.8500000000000001,1,0.0,0.9931671462213847,0.9957203085087353,0.0
17,0.8500000000000001,2,0.0,0.9931671462213847,0.9957203085087353,0.0
17,0.8500000000000001,3,0.0,0.9931671462213847,0.9957203085087353,0.0
17,0.8500000000000001,4,0.0,0.9931671462213847,0.9957203085087353,0.0
17,0.8500000000000001,5,0.0,0.9931671462213847,0.9957203085087353,0.0
18,0.9,0,0.0,0.9932079174195925,0.995745899702575,0.0
18,0.9,1,0.0,0.9932079174195925,0.995745899702575,0.0
18,0.9,2,0.0,0.9932079174195925,0.995745899702575,0.0
