scene,method,k_s,k_t,r0,topo_rho_floor,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,completion_time_mean,input_sat_mean,control_cost_mean,control_smoothness_mean,radius_error_final_mean,last_10s_inside_rate_mean
s4_narrow_passage_easy,M4,3.4,1.5,1.9,0.65,1.0,0.0,0.0,0.0,0.8952610845006492,0.484473966563871,15.828333333333335,0.03705148205928237,91.27149256801216,450.69072811804773,1.9078483249974183,0.999
s4_narrow_passage_easy,M5,3.4,1.5,1.9,0.65,1.0,0.0,0.0,0.0,1.0223055812288262,0.4714139199959525,16.145,0.008805685560755764,90.3611608796828,443.21994067419996,1.9072199283746696,0.9936666666666666
s4_narrow_passage_easy,M6,3.4,1.5,1.9,0.65,0.7666666666666667,0.23333333333333334,0.0,0.23333333333333334,0.8953124016302566,0.39384115205966824,15.828333333333335,0.03692147685907436,91.45495196607067,452.26899104656974,1.9776468696361653,0.9953333333333333
s4_narrow_passage_easy,M7,3.4,1.5,1.9,0.65,0.8,0.2,0.0,0.2,1.0222750746180682,0.3923857671625666,16.145,0.008814352574102964,90.57154057112014,447.3553211234924,1.9789331159171795,0.9883333333333333
s4_narrow_passage_hard,M4,3.4,1.5,1.9,0.65,0.26666666666666666,0.7333333333333333,0.1,0.7333333333333333,0.3720632827451783,0.39853978886885166,18.573333333333334,0.05859931538532704,105.23920356568445,1780.9793050447358,1.9076273387130014,1.0
s4_narrow_passage_hard,M5,3.4,1.5,1.9,0.65,0.0,1.0,0.0,1.0,0.6697483624020644,0.36603439234820456,19.89666666666667,0.045494495327967434,103.8597946523047,1835.9169055209663,1.9076310898752376,1.0
s4_narrow_passage_hard,M6,3.4,1.5,1.9,0.65,0.13333333333333333,0.8666666666666667,0.06666666666666667,0.8666666666666667,0.38074711862053623,0.38599247362284667,18.58833333333333,0.058400407068183925,105.20625458176964,1669.8118069696202,1.977032687514776,1.0
s4_narrow_passage_hard,M7,3.4,1.5,1.9,0.65,0.0,1.0,0.0,1.0,0.6775390360411131,0.3667090451348221,19.908333333333335,0.04538810250716995,103.91857478291095,1726.6220912909525,1.9768177972875869,1.0
s4_narrow_passage_medium,M4,3.4,1.5,1.9,0.65,0.9,0.1,0.0,0.1,0.5421806410849701,0.43575151367377335,16.76,0.07860313497017617,94.8497855369274,815.6262308575053,1.9074947868705927,1.0
s4_narrow_passage_medium,M5,3.4,1.5,1.9,0.65,0.6,0.4,0.0,0.4,0.7587963502858468,0.3652172221817133,17.716666666666665,0.05289221806075739,92.899370085156,814.1745254677916,1.9076782816939934,1.0
s4_narrow_passage_medium,M6,3.4,1.5,1.9,0.65,0.6,0.4,0.0,0.4,0.5442340633995938,0.3954516889034903,16.756666666666668,0.07867249271743654,94.96908376067476,791.1344792124942,1.9768318102765368,1.0
s4_narrow_passage_medium,M7,3.4,1.5,1.9,0.65,0.43333333333333335,0.5666666666666667,0.0,0.5666666666666667,0.7560902530131983,0.34960047084645623,17.716666666666665,0.05289915383548342,93.03716852965404,791.2040014671263,1.9776740917974478,1.0
