success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,k_s,k_t,r0
False,17.7,0.8251569926339817,0.32443582227533163,True,91.4112613186626,668.6140108080891,0.03953391593841032,79.67891264772744,0.11701219036749139,0.6789027426408664,0.03257061266980987,0.03257061266980987,123.28578994609904,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1210972573591333,False,False,23.55,23.35,23.55,20.3,40.0,22.35,0,81.85245270073102,2.1270660857200228,1.0,s4_narrow_passage_medium,M7,10,3.4,1.3,1.7
True,17.900000000000002,0.9677820691619681,0.37297316190420754,False,91.76010315765781,708.7704015262235,0.033291718684977115,72.08054957384093,0.09719882242191813,0.6973542701869081,7.620731058945364e-05,7.620731058945364e-05,123.65243287196326,0,0.0,True,True,True,False,True,True,False,False,True,True,True,2.1026457298130916,False,True,24.700000000000003,23.35,24.700000000000003,20.450000000000003,40.0,22.150000000000002,0,72.33126907107611,2.0994948361985637,1.0,s4_narrow_passage_medium,M7,11,3.4,1.3,1.7
False,17.85,0.8039060281082999,0.30306270413434405,True,92.39080932328437,694.2123729178593,0.04265501456512692,72.01295285839481,0.09721635474466629,0.6973418345975014,0.00010632104904239153,0.00010632104904239153,123.82791541826654,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026581654024983,False,False,23.700000000000003,23.650000000000002,23.700000000000003,20.450000000000003,40.0,22.200000000000003,0,72.49505361177603,2.0994840132673107,1.0,s4_narrow_passage_medium,M7,12,3.4,1.3,1.7
False,17.650000000000002,0.8583289506235869,0.30766150404937836,True,92.0243418445007,714.2527027074062,0.03204327923429047,72.10222651002377,0.08864804022543045,0.7036384427007699,0.006333966424650243,0.006333966424650243,123.55584283167181,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.09636155729923,False,False,23.85,23.35,23.85,20.25,40.0,22.400000000000002,0,72.42694662342802,2.0994821202266034,1.0,s4_narrow_passage_medium,M7,13,3.4,1.3,1.7
False,17.400000000000002,0.8563310452999773,0.3180872789489944,True,92.61885079915903,664.2112583707531,0.028089887640449437,72.01959359168345,0.09722017342750262,0.6973390924904974,0.00010805677921303249,0.00010805677921303249,123.60211520211249,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026609075095024,False,False,23.1,23.0,23.1,20.0,40.0,22.650000000000002,0,72.37711342123848,2.0994937915340732,1.0,s4_narrow_passage_medium,M7,14,3.4,1.3,1.7
False,17.900000000000002,0.8953037320778214,0.31565851636849723,True,92.31458187792357,694.0189843847302,0.04203079483978361,72.0351720280159,0.09723827194442787,0.6973257194154003,0.00021294425804927218,0.00021294425804927218,124.18041154178901,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026742805845995,False,False,24.0,23.6,24.0,20.5,40.0,22.150000000000002,0,72.4762478781784,2.099484955197211,1.0,s4_narrow_passage_medium,M7,15,3.4,1.3,1.7
False,17.6,0.8073863463490454,0.3152000680638914,True,92.5590462199127,689.7110403662449,0.040366208905534745,72.04899289954278,0.09722243809763849,0.6973371116580213,0.00014986522882676166,0.00014986522882676166,123.88215242412551,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026628883419787,False,False,23.700000000000003,23.25,23.700000000000003,20.200000000000003,40.0,22.450000000000003,0,72.42867118322513,2.09948921727975,1.0,s4_narrow_passage_medium,M7,16,3.4,1.3,1.7
False,17.55,0.8231166964890122,0.3296427037367614,True,93.19573798420986,693.9611774785292,0.04681647940074907,71.99109448741471,0.09722610677099101,0.6973348161668413,0.00010739875332745194,0.00010739875332745194,124.03751311740193,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026651838331585,False,False,23.5,23.0,23.5,20.05,40.0,22.5,0,72.38501249664746,2.0994924598531126,1.0,s4_narrow_passage_medium,M7,17,3.4,1.3,1.7
False,17.95,0.9633276890096429,0.3037473164508321,True,91.76659869213267,688.3651386861308,0.03620474406991261,72.06058508720989,0.0972105214968224,0.6973455848478768,0.00018090185271237762,0.00018090185271237762,123.66693205579867,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.102654415152123,False,False,23.700000000000003,23.700000000000003,23.700000000000003,20.55,40.0,22.1,0,72.49084701174299,2.0994839185749186,1.0,s4_narrow_passage_medium,M7,18,3.4,1.3,1.7
False,17.6,0.8032957261546005,0.3131686954094611,True,92.5435106035295,670.2785758954855,0.04057428214731586,72.02592457302305,0.09721701528725475,0.6973413423648455,0.0001436016140285538,0.0001436016140285538,123.76024949798219,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1026586576351542,False,False,23.400000000000002,23.400000000000002,23.400000000000002,20.200000000000003,40.0,22.450000000000003,0,72.42916314565815,2.0994902887236147,1.0,s4_narrow_passage_medium,M7,19,3.4,1.3,1.7
