config,scene,method,k_s,k_t,r0,success_rate,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,completion_time_mean,input_sat_mean,control_cost_mean,control_smoothness_mean,radius_error_final_mean
baseline_fixed_floor,s4_narrow_passage_medium,M7,3.4,1.2,1.6,0.03333333333333333,0.9666666666666667,0.0,0.9666666666666667,0.9043408729917768,0.3062132989351156,17.718333333333337,0.032799278679428494,92.17143523484856,736.7941851112221,2.1612825391631514
sweep,s4_narrow_passage_medium,M7,2.8,1.0,1.4,0.0,1.0,0.0,1.0,0.9431114486542268,0.2935145776682713,17.695,0.029386877514218337,92.26455472041545,741.0035178596224,2.291081370559829
sweep,s4_narrow_passage_medium,M7,2.8,1.0,1.6,0.0,1.0,0.0,1.0,0.9423744164964644,0.2976690996715901,18.013333333333332,0.02645304480510473,91.92561493911893,779.3581133655067,2.218135283389754
sweep,s4_narrow_passage_medium,M7,2.8,1.0,1.8,0.0,1.0,0.0,1.0,0.9408329257190073,0.29586084842675675,18.38,0.02383825773338882,91.7032846381027,837.6405359644729,2.144567287158644
sweep,s4_narrow_passage_medium,M7,2.8,1.2,1.4,0.0,1.0,0.0,1.0,0.8514817319777269,0.29705377333474675,17.34,0.037043972811763075,92.62779816958806,670.3340880091979,2.2409842641739304
sweep,s4_narrow_passage_medium,M7,2.8,1.2,1.6,0.03333333333333333,0.9666666666666667,0.0,0.9666666666666667,0.9035984068730055,0.3018165208852043,17.716666666666665,0.03278540712997642,92.13542130624427,728.7779841674541,2.16200890121794
sweep,s4_narrow_passage_medium,M7,2.8,1.2,1.8,0.0,1.0,0.0,1.0,0.9076692430107284,0.3044199284608026,18.060000000000002,0.03137050908586489,91.93141395694475,737.2982936355867,2.083259644175386
sweep,s4_narrow_passage_medium,M7,2.8,1.4,1.4,0.0,1.0,0.0,1.0,0.7680833604838374,0.31100737861323,17.01,0.044749618532390074,93.49964892169265,744.0575250209419,2.206760471818014
sweep,s4_narrow_passage_medium,M7,2.8,1.4,1.6,0.06666666666666667,0.9333333333333333,0.0,0.9333333333333333,0.7706238300181928,0.317572748984149,17.335,0.044624774587321406,93.0803397583182,749.4654353669976,2.121908889322346
sweep,s4_narrow_passage_medium,M7,2.8,1.4,1.8,0.2,0.8,0.0,0.8,0.8060480289403539,0.33260543729638103,17.696666666666665,0.04564433347204883,92.72790923765005,760.8046078226965,2.0389720693509137
sweep,s4_narrow_passage_medium,M7,3.4,1.0,1.4,0.0,1.0,0.0,1.0,0.9404893943594609,0.29805939954590077,17.693333333333335,0.02971979470106811,92.25087091468733,724.8879880213509,2.2908656157852154
sweep,s4_narrow_passage_medium,M7,3.4,1.0,1.6,0.0,1.0,0.0,1.0,0.9437778027528421,0.3031578268701644,18.018333333333334,0.02636287973366625,91.91332708453811,770.6358519831576,2.2174432469653835
sweep,s4_narrow_passage_medium,M7,3.4,1.0,1.8,0.0,1.0,0.0,1.0,0.9397610199897425,0.29770182625148833,18.37666666666667,0.023533083645443195,91.69327462158266,835.8637474243333,2.1462494382190163
sweep,s4_narrow_passage_medium,M7,3.4,1.2,1.4,0.0,1.0,0.0,1.0,0.8460989166513123,0.30247691580501335,17.333333333333332,0.03750173394368151,92.61521736342651,668.4495785088898,2.240565033072713
sweep,s4_narrow_passage_medium,M7,3.4,1.2,1.6,0.03333333333333333,0.9666666666666667,0.0,0.9666666666666667,0.9043408729917768,0.3062132989351156,17.718333333333337,0.032799278679428494,92.17143523484856,736.7941851112221,2.1612825391631514
sweep,s4_narrow_passage_medium,M7,3.4,1.2,1.8,0.0,1.0,0.0,1.0,0.9071012433963009,0.3058170726734088,18.05666666666667,0.03123872936607019,91.90666271294158,732.0453943288592,2.0825992582607578
sweep,s4_narrow_passage_medium,M7,3.4,1.4,1.4,0.0,1.0,0.0,1.0,0.767230677646411,0.3136130447576104,17.003333333333334,0.04489526980163684,93.54933218480659,745.8150288770404,2.2073829894952577
sweep,s4_narrow_passage_medium,M7,3.4,1.4,1.6,0.06666666666666667,0.9333333333333333,0.0,0.9333333333333333,0.7734736923263023,0.31953424238304706,17.335,0.04470106810930781,93.07640833004184,750.9184948455174,2.122067875090438
sweep,s4_narrow_passage_medium,M7,3.4,1.4,1.8,0.2,0.8,0.0,0.8,0.8060408787976677,0.3335842952276541,17.696666666666665,0.045464003329171866,92.61939577382431,746.9321087794195,2.0396876949022062
sweep,s4_narrow_passage_medium,M7,4.0,1.0,1.4,0.0,1.0,0.0,1.0,0.9391142817556895,0.29972902149142455,17.698333333333334,0.029754473574698292,92.23942852881547,723.6520663887383,2.2902329969201243
sweep,s4_narrow_passage_medium,M7,4.0,1.0,1.6,0.0,1.0,0.0,1.0,0.9432163661024865,0.30289531624247246,18.015,0.026265778887501735,91.9186524244492,763.4864199401642,2.2179632097299447
sweep,s4_narrow_passage_medium,M7,4.0,1.0,1.8,0.0,1.0,0.0,1.0,0.9395395116832872,0.30375778421753014,18.375,0.023768899986128453,91.71772543335533,832.9927486494148,2.1451735142020443
sweep,s4_narrow_passage_medium,M7,4.0,1.2,1.4,0.0,1.0,0.0,1.0,0.846572874725935,0.30419471725874814,17.336666666666666,0.03748786239422943,92.65883434838365,678.8503895010631,2.240982899949635
