variant,speed_scale,t_pred,success_rate,collision_rate,agent_collision_rate,min_agent_distance_mean,completion_time_mean,current_center_error_mean,predicted_center_error_mean,gmax_mean,radius_error_final_mean,input_sat_mean
baseline,0.5,0.3,0.0,1.0,1.0,0.5481044921403878,9.481666666666667,2.0038907489912385,2.120320377844807,284.57276486764437,0.6141292805271292,0.12528911092608014
baseline,0.5,0.7,0.0,1.0,1.0,0.5480763307227486,9.413333333333334,1.936825333803123,2.2084939969030666,281.0187211149561,0.6713855688810566,0.12671847534462022
baseline,0.5,1.0,0.0,1.0,1.0,0.5480528242767957,9.368333333333334,1.88681066888207,2.2749090543504478,278.40468264839967,0.7137585262580586,0.12779165510222962
baseline,0.5,1.3,0.0,1.0,1.0,0.5480063702473885,9.326666666666666,1.8368890596487606,2.3414188877814874,275.8872639757547,0.7556849931522016,0.1288740864094736
baseline,0.65,0.3,0.0,1.0,1.0,0.5445130696525575,11.838333333333335,2.167627099510827,2.3189871085110734,292.9392234239101,0.4718338203752341,0.15452400777130168
baseline,0.65,0.7,0.0,1.0,1.0,0.5443457737242253,11.695,2.0857101405457983,2.438882679672554,288.87009118757305,0.5439938186048018,0.15678138588213525
baseline,0.65,1.0,0.0,1.0,1.0,0.5442069782818488,11.608333333333333,2.02487948220165,2.5294111564000143,286.005205835114,0.5973117763270007,0.1585067998889814
baseline,0.65,1.3,0.0,1.0,1.0,0.5440278898644113,11.528333333333334,1.9644766565577774,2.620366503359028,283.0647340844236,0.649893195981773,0.1602183365713757
baseline,0.8,0.3,0.0,1.0,1.0,0.5395933441700952,15.865000000000002,2.3515963663144475,2.5378860098264777,299.9121795143306,0.30657583776464764,0.20178092330465353
baseline,0.8,0.7,0.0,1.0,1.0,0.5391389026306601,15.535,2.2554180369950627,2.690093499661389,296.3910088993372,0.3939441565968277,0.20547229160884448
baseline,0.8,1.0,0.0,1.0,1.0,0.5386892355063206,15.336666666666668,2.183870912432943,2.804835544917046,293.6270396771674,0.45853982188682335,0.20823387917476177
baseline,0.8,1.3,0.0,1.0,1.0,0.5382400066627521,15.175,2.112784822211699,2.920038344609743,290.75567562538856,0.5223530574825107,0.21092608011841982
baseline,1.0,0.3,0.0,1.0,1.0,0.5268835908591143,35.52166666666667,2.674843356742279,2.907705680415665,310.6082695184122,0.008269804679116591,0.33954574891294287
baseline,1.0,0.7,0.0,1.0,1.0,0.5261291173908856,28.635,2.559871994709408,3.103217102991343,307.77388105870006,0.11619866607081833,0.3472939217318901
baseline,1.0,1.0,0.0,1.0,1.0,0.5255401420618045,27.398333333333333,2.474088458918168,3.2502953282795,305.51223411718297,0.19631168705303678,0.3532380423720973
baseline,1.0,1.3,0.0,1.0,1.0,0.5249176497075063,26.64,2.3886797388892047,3.397747032970367,303.1613245871021,0.2756684258599284,0.35924229808492925
c_like,0.5,0.3,0.0,1.0,1.0,0.5744375541881193,9.541666666666666,1.9808810637165801,2.097310753742941,279.4478057184131,0.6141803380667575,0.12620964011471922
c_like,0.5,0.7,0.0,1.0,1.0,0.5745489879349281,9.473333333333334,1.9103361551982505,2.182006172299078,276.4707699381091,0.6734348338390735,0.12768988805624942
c_like,0.5,1.0,0.0,1.0,1.0,0.5746279230386083,9.425,1.857852609604129,2.245953372335755,273.0979839251622,0.7167212280162015,0.12873531316495512
c_like,0.5,1.3,0.0,1.0,1.0,0.57469912716122,9.376666666666667,1.8061075181266142,2.310634714393103,269.2756965145804,0.7588149280610508,0.12977611249884355
c_like,0.65,0.3,0.0,1.0,1.0,0.5722614938874605,11.925,2.1491544214066463,2.300514017864673,287.96029904997255,0.46976209501010224,0.1555971875289111
c_like,0.65,0.7,0.0,1.0,1.0,0.5722215681357655,11.785,2.065694471778533,2.4188662751662426,284.08878094065625,0.5424776573721187,0.1579470811360903
c_like,0.65,1.0,0.0,1.0,1.0,0.5721429930789038,11.688333333333334,2.003585829664938,2.5081177263837175,281.04153628263316,0.5961330507807107,0.15970024979184014
c_like,0.65,1.3,0.0,1.0,1.0,0.5720487652430001,11.606666666666667,1.9417801023490475,2.597673046191148,278.08290227411754,0.6490583200468636,0.16137478027569616
c_like,0.8,0.3,0.0,1.0,1.0,0.568406556884806,16.0,2.337056946505924,2.5233464851313756,295.65873691986985,0.30325126652409545,0.2034739568877787
c_like,0.8,0.7,0.0,1.0,1.0,0.5680859172419382,15.658333333333333,2.2395190075496703,2.6741942114185453,291.844633722527,0.3908090020825356,0.2071745767416042
c_like,0.8,1.0,0.0,1.0,1.0,0.5678117953596221,15.461666666666668,2.1670423102030365,2.7880062561049446,288.8596487371515,0.45542541599530695,0.2099407900823388
c_like,0.8,1.3,0.0,1.0,1.0,0.5675344299908417,15.285,2.095087633555973,2.902339753367922,285.7527313347287,0.5191570622311682,0.21260986215191044
c_like,1.0,0.3,0.0,1.0,1.0,0.5581923095332734,37.76833333333333,2.664527456072503,2.8973897141577805,307.2250725577509,0.004040798438798144,0.34189564252012217
c_like,1.0,0.7,0.0,1.0,1.0,0.557594748558391,28.966666666666665,2.5485746424349305,3.0919195739908987,304.0248696411543,0.11190154793268563,0.3498566009806643
c_like,1.0,1.0,0.0,1.0,1.0,0.5571086591293294,27.666666666666668,2.4621385704874896,3.238345136749848,301.53755196359276,0.19187541705102576,0.35579147007123696
c_like,1.0,1.3,0.0,1.0,1.0,0.556592692588773,26.885,2.3761154485553257,3.38518257077933,299.0601452970605,0.2710756047618946,0.36183273198260707
