success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,speed_scale,t_pred,variant
False,9.55,inf,0.5482479809062989,True,102.46762405545302,0.0568058630090083,0.12753261171246183,284.44792864849967,0.26185981457150415,2.185813824385024,2.003694859030557,2.120126123514563,176.22375701134322,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.614186175614976,False,False,60.0,60.0,60.0,8.05,60.0,50.5,0,284.44982990928503,0.614185198626985,0.0,s6_fast_target,M7,10,0.5,0.3,baseline
False,9.450000000000001,inf,0.5469247909790829,True,101.96955106354915,0.07433901849630713,0.12489592006661115,284.44635009810025,0.26185552787935495,2.185813092962307,2.0036923649866014,2.1201236631710247,175.66933751123645,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.6141869070376926,False,False,60.0,60.0,60.0,7.9,60.0,50.6,0,284.44674985000677,0.6141867969393574,0.0,s6_fast_target,M7,11,0.5,0.3,baseline
False,9.450000000000001,inf,0.5474664939937479,True,102.23175782692334,0.06305943619288729,0.12545101304468498,284.4460251604898,0.261854673983345,2.185812988717377,2.0036919141590515,2.1201232214951977,176.00869545595486,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.6141870112826227,False,False,60.0,60.0,60.0,7.95,60.0,50.6,0,284.44616804045995,0.6141869082749851,0.0,s6_fast_target,M7,12,0.5,0.3,baseline
False,9.450000000000001,inf,0.5523347255212814,True,101.67200142427095,0.05018254846569941,0.12364696086594505,286.04898973677416,0.2663025141922463,2.186491009890611,2.006140086463494,2.1225580748609127,175.62506614208343,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.6135089901093886,False,False,60.0,60.0,60.0,7.95,60.0,50.6,0,287.514332492179,0.6135275461550944,0.0,s6_fast_target,M7,13,0.5,0.3,baseline
False,9.4,inf,0.546371177757926,True,102.20392805422715,0.05481223433841211,0.12364696086594505,284.4498915174591,0.26186502679419527,2.1858145421952746,2.0036977011505726,2.120128914714078,176.01390722158607,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.6141854578047252,False,False,60.0,60.0,60.0,8.0,60.0,50.650000000000006,0,284.45344382954283,0.6141841203103564,0.0,s6_fast_target,M7,14,0.5,0.3,baseline
False,9.55,inf,0.5431680376705912,True,102.80177267300904,0.07012016909167872,0.1276713849569803,284.7550570904818,0.26270006115341615,2.185961926692301,2.004187273336421,2.120613047915142,176.38987585828042,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.6140380733076989,False,False,60.0,60.0,60.0,8.05,60.0,50.5,0,285.0606462109357,0.6138857374648233,0.0,s6_fast_target,M7,15,0.5,0.3,baseline
False,9.450000000000001,inf,0.5387040188333553,True,102.04425565528226,0.04875345680220084,0.12406328059950042,284.9740271005419,0.26330760829328775,2.186073074430833,2.004545651911861,2.1209688549114905,175.90867532901203,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.6139269255691668,False,False,60.0,60.0,60.0,8.0,60.0,50.6,0,285.5061182307565,0.613701278904276,0.0,s6_fast_target,M7,16,0.5,0.3,baseline
False,9.600000000000001,inf,0.5429419073336255,True,102.79480760684868,0.045560732563476945,0.12586733277824036,284.9451609322531,0.2632250724909499,2.1860550566421315,2.004493822475069,2.1209171223459875,176.4340045571156,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.6139449433578683,False,False,60.0,60.0,60.0,8.15,60.0,50.45,0,285.44284196864754,0.6137338212278844,0.0,s6_fast_target,M7,17,0.5,0.3,baseline
False,9.450000000000001,inf,0.5389039019641498,True,102.13404952925436,0.04721255812173744,0.1228143213988343,284.4521253867695,0.2618711222031496,2.185815624030002,2.0037012935948835,2.1201324618091344,176.01474036749858,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.6141843759699976,False,False,60.0,60.0,60.0,8.05,60.0,50.6,0,284.4578563503225,0.6141816421765863,0.0,s6_fast_target,M7,18,0.5,0.3,baseline
False,9.5,inf,0.5436681546966796,True,102.16920291594997,0.05313694171519658,0.12545101304468498,284.45536178902137,0.26187985327090285,2.1858170287894545,2.0037062783985014,2.1201373733232796,176.01740386394084,0,0.0,False,False,False,False,True,False,False,True,True,True,False,0.6141829712105453,False,False,60.0,60.0,60.0,8.0,60.0,50.550000000000004,0,284.4640665557536,0.6141788244197219,0.0,s6_fast_target,M7,19,0.5,0.3,baseline
