scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,dwell_geom_success_rate,dwell_success_no_collision_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean,time_to_inside_mean,time_to_gmax_mean,time_to_radius_mean,time_to_full_geom_mean,success_hold_time_mean,post_success_violation_count_mean,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate_mean
b1_static_uniform_encirclement,M4,0.0,38.0,,0.0,0.0,0.0,inf,1.037885781542176,60.000000147409864,8.604812148730004e-19,13.97685479030335,0.46522211070586755,0.05431449846692948,701.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7592401337095565,0.0,1.0,0.0,0.0,0.0,1.4000000000000001,1.4000000000000001,0.0,0.0,60.00000081563543,0.7592401337095563,1.0
b1_static_uniform_encirclement,M7,0.0,38.0,,0.0,0.0,0.0,inf,0.9177670005741302,60.000549449975,2.2280550721506448e-13,13.037332738109544,0.15116051748711692,0.03745072273324573,681.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8764666458361946,0.0,1.0,0.0,0.0,0.0,1.4000000000000001,1.4000000000000001,0.0,0.0,60.00169875976586,0.8764666457023992,1.0
b3_moving_target_open_encirclement,M4,1.0,15.100000000000001,,0.0,0.0,0.0,inf,0.47169432233980413,273.93598952989635,0.20207485422322682,97.17796671758515,0.06773605040133109,0.21393799641301564,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.930697669088258,0.0,1.0,65.0,65.0,65.0,14.200000000000001,65.0,49.95,0.0,273.8868252884068,0.9289375348967563,0.0
b3_moving_target_open_encirclement,M7,1.0,15.100000000000001,,0.0,0.0,0.0,inf,0.4708933974949356,272.32343956783075,0.1595649029161359,97.13448253055338,0.06357380051199846,0.21368178324365872,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9301164361425447,0.0,1.0,65.0,65.0,65.0,14.200000000000001,65.0,49.95,0.0,272.3283753387635,0.9281435063702698,0.0
b3_moving_target_open_encirclement,M9,1.0,15.15,,0.0,0.0,0.0,inf,0.48911891231021537,86.27146655292917,0.022427518165135482,104.38371518074536,0.04876688126529369,0.2209838585703305,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.3132771881397043,0.0,1.0,22.0,19.8,22.0,14.25,65.0,49.900000000000006,0.0,84.52198012333349,1.3132858312130669,1.0
s2_same_side_expansion,M4,0.0,80.0,,1.0,0.0,1.0,inf,0.08320855627859802,275.4222304201124,0.18406075962064125,29.198262863440064,0.35373194941989416,0.04382677493233396,1405.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.024129304471973,0.0,0.0,80.0,80.0,80.0,3.85,80.0,0.0,0.0,275.4222342984672,1.0241292965273707,0.0
s2_same_side_expansion,M5,0.0,80.0,,1.0,0.0,1.0,inf,0.08320855627859802,275.4222304201124,0.18406075962064125,29.198262863440064,0.35373194941989416,0.04382677493233396,1405.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.024129304471973,0.0,0.0,80.0,80.0,80.0,3.85,80.0,0.0,0.0,275.4222342984672,1.0241292965273707,0.0
s2_same_side_expansion,M6,0.0,80.0,,1.0,0.0,1.0,inf,0.08320855627859802,274.10650248463855,0.1590939519061044,29.178737005577542,0.35212983389532393,0.04372267332916927,1416.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0245609768172041,0.0,0.0,80.0,80.0,80.0,3.85,80.0,0.0,0.0,274.10651358387486,1.0245609551554136,0.0
s2_same_side_expansion,M7,0.0,80.0,,1.0,0.0,1.0,inf,0.08320855627859802,274.10650248463855,0.1590939519061044,29.178737005577542,0.35212983389532393,0.04372267332916927,1416.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0245609768172041,0.0,0.0,80.0,80.0,80.0,3.85,80.0,0.0,0.0,274.10651358387486,1.0245609551554136,0.0
s2_same_side_expansion,M9,0.0,80.0,,1.0,0.0,1.0,inf,0.08320855627859802,60.00075138857709,8.19960264021081e-12,33.82747420694354,0.43585547949233283,0.04944826150322715,1276.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3879392769640917,0.0,0.0,10.3,8.8,10.3,3.95,80.0,0.0,0.0,60.001825525673766,1.3879392771192114,1.0
