scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,dwell_geom_success_rate,dwell_success_no_collision_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean,time_to_inside_mean,time_to_gmax_mean,time_to_radius_mean,time_to_full_geom_mean,success_hold_time_mean,post_success_violation_count_mean,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate_mean
a3_multi_agent_safety_crossing,M10,0.0,28.0,0.0,1.0,0.0,1.0,inf,0.0006366816111461116,120.02844081535969,0.05821184374413211,50.06546482839294,1707.4276481136762,0.023707664884135473,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.26530115517749187,1.0,0.0,0.0,0.0,0.0,4.66,4.66,0.0,0.0,117.66692185680824,0.2557877402467304,1.0
a3_multi_agent_safety_crossing,M7,0.0,28.0,0.0,1.0,0.0,1.0,inf,0.4718285528320532,67.91852713485179,0.029288437892160447,33.81234891379883,944.5350601699325,0.023054070112893642,179.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.4316011973413785,1.0,0.0,0.0,0.0,0.0,4.66,4.66,0.0,0.0,67.9079616647448,0.4320427324465241,1.0
b3_moving_target_open_encirclement,M10,1.0,15.120000000000001,0.027386127875257883,0.0,0.0,0.0,inf,0.4747275673933,272.32662994147444,0.1594550449198203,97.14336746773893,0.06351509428776193,0.21380988982833715,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9302117280782591,0.0,1.0,65.0,65.0,65.0,14.220000000000002,65.0,49.93000000000001,0.0,272.35190340158636,0.9282484292643188,0.0
b3_moving_target_open_encirclement,M7,1.0,15.120000000000001,0.027386127875257883,0.0,0.0,0.0,inf,0.4747275673933,272.32662994147444,0.1594550449198203,97.14336746773893,0.06351509428776193,0.21380988982833715,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9302117280782591,0.0,1.0,65.0,65.0,65.0,14.220000000000002,65.0,49.93000000000001,0.0,272.35190340158636,0.9282484292643188,0.0
d2_fast_target_single_obstacle,M10,0.0,15.74,0.10839741694339346,1.0,0.0,1.0,0.4196081474864631,0.3147495388289843,296.2671132873724,0.2894700440846069,195.28523525844358,0.13404314486282815,0.23283374965306688,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.39750505546002923,0.0,0.0,60.0,60.0,60.0,13.360000000000003,60.0,44.31,0.0,296.4137822337796,0.39748281453822054,0.0
d2_fast_target_single_obstacle,M7,0.0,15.720000000000002,0.10368220676663877,1.0,0.0,1.0,0.4114915728251389,0.4074229871870708,296.91614769298974,0.29115372194351374,195.16169142001237,0.12890266527724037,0.23205661948376352,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.39746266275263153,0.0,0.0,60.0,60.0,60.0,13.370000000000001,60.0,44.33,0.0,297.31859447021395,0.397467860060214,0.0
s4_narrow_passage_easy,M10,0.0,16.92,0.057008771254956035,1.0,0.0,1.0,1.4350071125751405,0.0008165949796841074,130.88469233438175,0.0006675735055091482,95.39450192157905,755.1520756117227,0.0008840353614144568,0.0,1.0,1.0,0.6,0.0,1.0,0.0,1.0,1.0,0.0,2.7649426437332076,0.0,0.0,23.42,22.98,23.42,19.740000000000002,32.0,15.13,0.0,151.35339416372878,2.4840887046639635,0.8140000000000001
s4_narrow_passage_easy,M7,0.0,16.92,0.057008771254956035,1.0,0.0,1.0,1.4115919302009725,0.19756148333800536,76.58552328053875,0.007146304919630085,94.8685803302901,946.8672445128832,0.034165366614664586,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.590279017007464,0.0,0.0,23.490000000000002,23.09,23.490000000000002,19.76,32.0,15.13,0.0,113.78212683876377,2.3773163961183257,0.867
s6_fast_target,M10,0.0,27.540000000000003,0.2631539473388145,1.0,0.0,1.0,inf,0.45629303411011746,304.8213556528887,0.30937092634893754,275.0160967892747,0.02173345703897721,0.35914515681376635,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.19628977135004827,0.0,0.0,60.0,60.0,60.0,21.92,60.0,32.510000000000005,0.0,304.989872287989,0.19627021851533216,0.0
s6_fast_target,M7,0.0,27.53,0.25641762809916097,1.0,0.0,1.0,inf,0.5293586779453892,305.72362692600836,0.30851016925877933,274.9719816100795,0.023371298297714633,0.3552872606161532,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.1963077356620449,0.0,0.0,60.0,60.0,60.0,22.05,60.0,32.52,0.0,306.1996052660778,0.19622704392522966,0.0
