scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,dwell_geom_success_rate,dwell_success_no_collision_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean,time_to_inside_mean,time_to_gmax_mean,time_to_radius_mean,time_to_full_geom_mean,success_hold_time_mean,post_success_violation_count_mean,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate_mean
b1_static_uniform_encirclement,M4,0.0,38.0,0.0,0.0,0.0,0.0,inf,1.032541009147255,60.0000001568334,9.816695721182945e-19,13.823147098859428,0.42877393826472066,0.0533654548109213,701.3333333333334,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.7592401337095565,0.0,1.0,0.0,0.0,0.0,1.366666666666667,1.366666666666667,0.0,0.0,60.00000138435315,0.7592401337095561,1.0
b1_static_uniform_encirclement,M7,0.0,38.0,0.0,0.0,0.0,0.0,inf,0.91458414450744,60.000818859537276,5.913135628133296e-13,12.880603459434921,0.1429930670167538,0.03672068915170098,681.6666666666666,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8764666458182765,0.0,1.0,0.0,0.0,0.0,1.3833333333333335,1.3833333333333335,0.0,0.0,60.002505434456616,0.8764666454673938,1.0
b3_moving_target_open_encirclement,M4,1.0,15.100000000000001,0.0,0.0,0.0,0.0,inf,0.47443160366231246,273.9421508480661,0.2021310880286471,97.08114804956291,0.06723872155688639,0.21363908104876592,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9301001829395016,0.0,1.0,65.0,65.0,65.0,14.200000000000001,65.0,49.95000000000001,0.0,273.89061952728537,0.9282496734146762,0.0
b3_moving_target_open_encirclement,M7,1.0,15.100000000000001,0.0,0.0,0.0,0.0,inf,0.473594378188388,272.34611139552936,0.15989878068660532,97.04227781893037,0.06301034326215922,0.21342557007430182,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.9294449837785818,0.0,1.0,65.0,65.0,65.0,14.200000000000001,65.0,49.95000000000001,0.0,272.3418903327012,0.9273919499712978,0.0
b3_moving_target_open_encirclement,M9,1.0,15.116666666666667,0.02886751345948003,0.0,0.0,0.0,inf,0.48860218211370426,86.27609193031905,0.022427890539235152,104.31191642049559,0.0480926565816146,0.22059953881629515,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.3132773350146125,0.0,1.0,21.933333333333337,19.75,21.933333333333337,14.25,65.0,49.93333333333334,0.0,84.52393740890348,1.3132860133509827,1.0
s2_same_side_expansion,M4,0.0,80.0,0.0,1.0,0.0,1.0,inf,0.14332365346951767,275.42222967418985,0.18406075831403004,28.874495081662506,0.40079978968298774,0.04372267332916927,1415.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0241293059999725,0.0,0.0,80.0,80.0,80.0,3.8000000000000003,80.0,0.0,0.0,275.42223153115077,1.024129302196003,0.0
s2_same_side_expansion,M5,0.0,80.0,0.0,1.0,0.0,1.0,inf,0.14332365346951767,275.42222967418985,0.18406075831403004,28.874495081662506,0.40079978968298774,0.04372267332916927,1415.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0241293059999725,0.0,0.0,80.0,80.0,80.0,3.8000000000000003,80.0,0.0,0.0,275.42223153115077,1.024129302196003,0.0
s2_same_side_expansion,M6,0.0,80.0,0.0,1.0,0.0,1.0,inf,0.14332365346951767,274.1065000299505,0.15909394695390944,28.870464538085155,0.3998179042876558,0.04372267332916927,1418.3333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0245609816083652,0.0,0.0,80.0,80.0,80.0,3.8000000000000003,80.0,0.0,0.0,274.10650610174645,1.0245609697573117,0.0
s2_same_side_expansion,M7,0.0,80.0,0.0,1.0,0.0,1.0,inf,0.14332365346951767,274.1065000299505,0.15909394695390944,28.870464538085155,0.3998179042876558,0.04372267332916927,1418.3333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0245609816083652,0.0,0.0,80.0,80.0,80.0,3.8000000000000003,80.0,0.0,0.0,274.10650610174645,1.0245609697573117,0.0
s2_same_side_expansion,M9,0.0,80.0,0.0,1.0,0.0,1.0,inf,0.14332365346951767,60.00075784884749,8.341968882489586e-12,33.68311813398676,0.45540571249130285,0.04927475883128601,1275.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.3879392769645342,0.0,0.0,10.366666666666667,8.85,10.366666666666667,3.8833333333333333,80.0,0.0,0.0,60.001841225668365,1.3879392771223484,1.0
