scene,method,success_rate,completion_time_mean,completion_time_std,collision_rate,obs_collision_rate,agent_collision_rate,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,control_cost_mean,control_smoothness_mean,input_sat_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,dwell_geom_success_rate,dwell_success_no_collision_rate,radius_error_final_mean,success_geom_final_rate,success_no_collision_rate,gmax_reach_time_mean,time_to_inside_mean,time_to_gmax_mean,time_to_radius_mean,time_to_full_geom_mean,success_hold_time_mean,post_success_violation_count_mean,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate_mean
s4_narrow_passage_easy,M4,0.0,15.733333333333334,0.02886751345948003,1.0,0.0,1.0,1.085924608749041,0.25142292348368533,72.10963703579921,0.06782741487727299,90.7074584240067,459.4145961877595,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.1927818327505912,0.0,0.0,22.433333333333334,21.816666666666666,22.433333333333334,18.633333333333336,32.0,16.316666666666666,0.0,89.37189954943771,2.1651945989651806,0.9816666666666666
s4_narrow_passage_easy,M5,0.0,16.900000000000002,0.04999999999999938,1.0,0.0,1.0,1.4183342366045828,0.24586132520084783,72.5037012235393,0.06763531350061024,87.04980098837352,421.08363164578685,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.1926070878963895,0.0,0.0,23.333333333333332,22.983333333333334,23.333333333333332,19.733333333333334,32.0,15.15,0.0,110.22005130096223,2.08044373999221,0.88
s4_narrow_passage_easy,M6,0.0,15.733333333333334,0.02886751345948003,1.0,0.0,1.0,1.0860460858776466,0.20443600925878988,75.22609658422961,0.007766197443412024,99.66973945066644,1085.38747777909,0.041341653666146644,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.5920520586977918,0.0,0.0,22.683333333333337,21.883333333333336,22.683333333333337,18.633333333333336,32.0,16.316666666666666,0.0,91.14520515430985,2.507743678795141,0.9666666666666667
s4_narrow_passage_easy,M7,0.0,16.900000000000002,0.04999999999999938,1.0,0.0,1.0,1.418133207260244,0.19608622350484306,75.74808962185965,0.006759513873662578,94.91526988341873,964.351985415582,0.033281331253250133,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.5885039258559037,0.0,0.0,23.166666666666668,23.03333333333333,23.166666666666668,19.75,32.0,15.15,0.0,113.05420479540135,2.378796873218017,0.8633333333333333
s4_narrow_passage_hard,M4,1.0,18.400000000000002,0.04999999999999938,0.0,0.0,0.0,0.37263454069127283,0.5044222671635002,72.19991154119577,0.1761177833412333,106.35842739761911,1778.3570615935953,0.06522342492367472,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.825034215658519,0.0,1.0,23.850000000000005,23.55,23.850000000000005,20.75,60.0,41.650000000000006,0.0,72.19427248510678,1.8279496159114739,1.0
s4_narrow_passage_hard,M5,0.0,27.96666666666667,0.12583057392117908,1.0,0.0,1.0,0.7314682868365378,0.32319274290631717,72.18873528875771,0.1789329417942238,107.25006399913862,2614.028783505,0.04773799611434915,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.8265145763041044,0.0,0.0,33.26666666666667,32.833333333333336,33.26666666666667,30.0,60.0,32.083333333333336,0.0,72.14757621531312,1.8279441582147082,1.0
s4_narrow_passage_hard,M6,0.0,18.400000000000002,0.04999999999999938,1.0,0.0,1.0,0.37271958579279457,0.3350979093700208,73.69211996666047,0.025497954640865964,110.74222095128567,2045.9984378811496,0.06513090942732908,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.4405754233596633,0.0,0.0,23.666666666666668,23.566666666666666,23.666666666666668,20.75,60.0,41.650000000000006,0.0,74.02235721498272,2.4393018332313403,1.0
s4_narrow_passage_hard,M7,0.0,27.96666666666667,0.12583057392117908,1.0,0.0,1.0,0.7314680238967766,0.3204892763265053,74.29350714673849,0.02607975277545692,110.688580972671,2811.7034190129634,0.04792302710704043,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.4395896184290873,0.0,0.0,33.26666666666667,32.65,33.26666666666667,29.983333333333334,60.0,32.083333333333336,0.0,74.15011072421278,2.4374260787942106,1.0
s4_narrow_passage_medium,M4,0.6666666666666666,16.85,0.04999999999999982,0.3333333333333333,0.0,0.3333333333333333,0.7040201066753461,0.3490176607296392,72.20792017342487,0.09205393756346442,94.3543758879577,835.8081090055731,0.06630600638091276,0.0,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,2.0841447536590034,0.0,0.6666666666666666,22.96666666666667,22.733333333333334,22.96666666666667,19.55,40.0,23.200000000000003,0.0,72.31114382134014,2.087209948547296,1.0
s4_narrow_passage_medium,M5,0.0,20.416666666666668,0.12583057392117908,1.0,0.0,1.0,0.9844239767611734,0.28796052215710766,72.21683987158234,0.10053717442790418,90.57147933702151,1006.1770928510256,0.017824941045914828,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,2.0902757176522364,0.0,0.0,26.566666666666666,26.3,26.566666666666666,22.86666666666667,40.0,19.633333333333336,0.0,73.68420736975197,2.0869212600423794,1.0
