success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed,topo_rho_floor
False,17.95,0.9105011754526917,0.3207691351940073,True,92.2165776601704,715.9889661023336,0.03162713275072826,72.05837038218647,0.06906136210380089,0.6256505623097494,0.006266489600482165,0.006266489600482165,124.09007341624974,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1743494376902506,False,False,23.650000000000002,23.55,23.650000000000002,20.55,40.0,22.1,0,72.3678171253393,2.177518167004349,1.0,s4_narrow_passage_medium,M7,10,0.6
False,18.0,0.9742434007988863,0.29871574034703946,True,91.6654570025563,730.3473907054389,0.031835205992509365,72.07274540958444,0.06910001681601395,0.6256157080191649,0.006523869028425945,0.006523869028425945,123.64212380285798,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.174384291980835,False,False,24.200000000000003,23.700000000000003,24.200000000000003,20.6,40.0,22.05,0,72.31176050419327,2.1775165024473955,1.0,s4_narrow_passage_medium,M7,11,0.6
False,17.95,0.7748108501900302,0.31305018545130514,True,92.28947437099538,842.7034856560916,0.041406575114440285,72.2216768190686,0.0695548844102399,0.6252689638253635,0.005768172236502244,0.005768172236502244,123.94278053498577,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.174731036174636,False,False,23.900000000000002,23.55,23.900000000000002,20.55,40.0,22.1,0,72.41253714898801,2.177491776407836,1.0,s4_narrow_passage_medium,M7,12,0.6
False,17.8,0.965540296222646,0.29709199555065147,True,91.79207220818057,724.3890811117703,0.027049521431543905,72.04043802010555,0.07669273831187944,0.6193148097812039,0.0001348631769848986,0.0001348631769848986,123.5692051287077,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.180685190218796,False,False,23.75,23.55,23.75,20.450000000000003,40.0,22.25,0,72.32311023719481,2.1775343683070667,1.0,s4_narrow_passage_medium,M7,13,0.6
False,17.650000000000002,0.9607829756324853,0.2975973990070399,True,92.00177790582426,699.6196123449362,0.02247191011235955,72.00103563646374,0.0766550258830744,0.619345071309366,7.6210913156751e-05,7.6210913156751e-05,123.59949314740095,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.180654928690634,False,False,23.650000000000002,23.55,23.650000000000002,20.35,40.0,22.400000000000002,0,72.30939507488239,2.177533343520082,1.0,s4_narrow_passage_medium,M7,14,0.6
False,18.05,0.9714490127975426,0.29826783282951685,True,92.0379048923324,744.4661618578388,0.0359966708281315,72.06522642421373,0.06907739948345792,0.6256371288988536,0.00622350709489572,0.00622350709489572,124.24824593921383,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1743628711011462,False,False,24.6,24.0,24.6,20.700000000000003,40.0,22.0,0,72.3266011270999,2.1775167302501988,1.0,s4_narrow_passage_medium,M7,15,0.6
False,17.8,0.9127836929551896,0.29902355749822607,True,91.90563177778839,724.9537925786691,0.031210986267166042,72.01716655322811,0.0766660098551424,0.6193358611652017,0.0001898082243769515,0.0001898082243769515,123.77726045148259,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.180664138834798,False,False,24.05,23.55,24.05,20.5,40.0,22.25,0,72.29481970075516,2.1775330715867676,1.0,s4_narrow_passage_medium,M7,16,0.6
False,17.75,0.8295320134129531,0.32296301675097544,True,92.76394850165804,725.052783394725,0.03953391593841032,72.05826781346981,0.06907484819020308,0.6256392668088324,0.006279521701692294,0.006279521701692294,124.05669095206832,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1743607331911674,False,False,25.0,23.55,25.0,20.3,40.0,22.3,0,72.34524164094242,2.1775170081448216,1.0,s4_narrow_passage_medium,M7,17,0.6
False,18.05,0.9747341038738224,0.29824027258374675,True,91.8828280303209,737.671470838292,0.03412401165210154,72.16124431211834,0.06911569672941231,0.6255988312835282,0.006606984334036456,0.006606984334036456,123.9694267988906,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1744011687164715,False,False,24.0,24.0,24.0,20.700000000000003,40.0,22.0,0,72.31328024330962,2.1775165523119147,1.0,s4_narrow_passage_medium,M7,18,0.6
False,17.75,0.8646101839285756,0.2985602379782954,True,91.99912452016429,688.5938612626065,0.03412401165210154,72.10445872724672,0.069095148910507,0.6256199280863742,0.006520877865396043,0.006520877865396043,123.66360086349734,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.1743800719136255,False,False,24.0,23.5,24.0,20.400000000000002,40.0,22.3,0,72.28263800718298,2.177516184640049,1.0,s4_narrow_passage_medium,M7,19,0.6
