success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed
False,16.85,0.5752595250696608,0.2641494943855869,True,103.09860394338314,1444.1401210484132,0.05846858094049105,73.00815962604192,0.010261566675535216,0.26066099472552956,0.006535131411457568,0.006535131411457568,140.4828456175967,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.53933900527447,False,False,22.85,22.55,22.85,19.55,40.0,23.200000000000003,0,74.79265983023114,2.541343586356722,1.0,s4_narrow_passage_medium,M6,10
False,16.85,0.6893677497093036,0.2659046641019408,True,102.44411635130854,1441.9208630384114,0.06158967956720766,75.54102340943706,0.012055897488159393,0.2566163881688667,0.004174062973959458,0.004174062973959458,139.87886270928507,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433836118311333,False,False,23.1,22.55,23.1,19.55,40.0,23.200000000000003,0,74.79975377423082,2.541343597112375,1.0,s4_narrow_passage_medium,M6,11
False,16.900000000000002,0.7098241751385543,0.26558513516454546,True,103.28097158290711,1474.8240866115768,0.06928838951310862,73.16517967077026,0.010261593535014152,0.2606626882699696,0.006533606849096482,0.006533606849096482,140.43168296826144,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393373117300304,False,False,23.200000000000003,22.6,23.200000000000003,19.55,40.0,23.150000000000002,0,74.79347272185156,2.5413435015331567,1.0,s4_narrow_passage_medium,M6,12
False,16.650000000000002,0.6070517106605287,0.2665959208501009,True,102.85998187830512,1440.7726833139395,0.0570120682480233,75.24799116701567,0.010268941503299652,0.26068805249653465,0.0065735634605810995,0.0065735634605810995,140.16992945016503,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539311947503465,False,False,22.950000000000003,22.5,22.950000000000003,19.400000000000002,40.0,23.400000000000002,0,74.81393837148265,2.541343338001127,1.0,s4_narrow_passage_medium,M6,13
False,16.650000000000002,0.6321975581030717,0.2615246228048108,True,103.15837235793651,1446.5851913170175,0.052434456928838954,75.59264406309681,0.012055203397207568,0.2566162022118063,0.004179180102843877,0.004179180102843877,140.38263029769615,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433837977881937,False,False,22.8,22.450000000000003,22.8,19.400000000000002,40.0,23.400000000000002,0,74.79543120039787,2.5413436473413604,1.0,s4_narrow_passage_medium,M6,14
False,16.95,0.6285119451901731,0.2647865638686315,True,101.77038557267646,1368.5996327528821,0.06325426550145652,74.27383695029245,0.012055449559910723,0.2566481729009324,0.004207812525461235,0.004207812525461235,139.19920019371563,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433518270990674,False,False,24.0,23.1,24.0,19.650000000000002,40.0,23.1,0,74.7954077421614,2.541341912645398,1.0,s4_narrow_passage_medium,M6,15
False,16.75,0.585780603751181,0.2656768099403006,True,101.82692180853036,1365.0551151994594,0.05867665418227216,74.72336265553798,0.010261860553746971,0.2606586812379128,0.0065387993795037935,0.0065387993795037935,139.10532041270835,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393413187620872,False,False,23.0,22.400000000000002,23.0,19.450000000000003,40.0,23.3,0,74.7921428136981,2.5413426216561588,1.0,s4_narrow_passage_medium,M6,16
False,16.7,0.6850503989832089,0.25940800228669036,True,104.03962496497732,1493.155140089162,0.060965459841864335,75.29104582151075,0.010268425305043778,0.26068942041101323,0.006568927426976922,0.006568927426976922,141.08854901351913,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393105795889865,False,False,22.8,22.35,22.8,19.400000000000002,40.0,23.35,0,74.82559395219673,2.5413300145137674,1.0,s4_narrow_passage_medium,M6,17
False,16.95,0.6373395207194055,0.2617010845308676,True,102.46356790775235,1435.6477827434196,0.05826050769870995,73.69751459664705,0.010263122079180804,0.26066802989164484,0.006539128768655822,0.006539128768655822,140.1121842023756,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539331970108355,False,False,22.950000000000003,22.650000000000002,22.950000000000003,19.650000000000002,40.0,23.1,0,74.80735782366682,2.5413432529649786,1.0,s4_narrow_passage_medium,M6,18
False,16.650000000000002,0.6373359687938496,0.2687398760243275,True,102.61920338019019,1407.4085085784911,0.0599250936329588,75.24407354358331,0.010268971150705797,0.260687987505727,0.006573911262974689,0.006573911262974689,139.92670482493432,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539312012494273,False,False,22.85,22.75,22.85,19.450000000000003,40.0,23.400000000000002,0,74.81421517934204,2.5413432467965733,1.0,s4_narrow_passage_medium,M6,19
