success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed
False,16.85,0.5752938315175136,0.26414936483387047,True,103.09872607388284,1444.1416528724637,0.05846858094049105,73.00815521915405,0.010261566676906694,0.26066099468324494,0.00653513149412175,0.00653513149412175,140.48295031394454,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539339005316755,False,False,22.85,22.55,22.85,19.55,40.0,23.200000000000003,0,74.79266115338363,2.5413435864022804,1.0,s4_narrow_passage_medium,M6,10
False,16.85,0.6893501466780163,0.26590281552322437,True,102.4443287396353,1441.9286848741197,0.06158967956720766,75.54034762763413,0.012055905201344775,0.2566163960581395,0.004174019651532943,0.004174019651532943,139.87901325370882,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5433836039418605,False,False,23.1,22.55,23.1,19.55,40.0,23.200000000000003,0,74.79989325752467,2.5413435957437627,1.0,s4_narrow_passage_medium,M6,11
False,16.900000000000002,0.7098206351731167,0.2656222447225986,True,103.2808240494379,1474.78457302628,0.06928838951310862,73.16817316521913,0.010261596166969356,0.2606627332341715,0.006533596898344067,0.006533596898344067,140.43099198524828,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393372667658283,False,False,23.200000000000003,22.6,23.200000000000003,19.55,40.0,23.150000000000002,0,74.79410441171308,2.541343499393131,1.0,s4_narrow_passage_medium,M6,12
False,16.650000000000002,0.607016571704803,0.2666009350749745,True,102.85994306728051,1440.7584515392307,0.0570120682480233,75.24803437526535,0.010268941178611391,0.26068805323555555,0.0065735598886062915,0.0065735598886062915,140.1696073712223,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393119467644443,False,False,22.950000000000003,22.5,22.950000000000003,19.400000000000002,40.0,23.400000000000002,0,74.81392548104874,2.5413433379335753,1.0,s4_narrow_passage_medium,M6,13
False,16.650000000000002,0.6320705695282214,0.26146356575914387,True,103.15880302202625,1446.6132693626432,0.052434456928838954,75.59237077538802,0.012055207863561701,0.25661619915139844,0.004179133157402926,0.004179133157402926,140.3830491704027,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543383800848601,False,False,22.8,22.450000000000003,22.8,19.400000000000002,40.0,23.400000000000002,0,74.79531140091518,2.541343647752431,1.0,s4_narrow_passage_medium,M6,14
False,16.95,0.6285021490956508,0.264787273561668,True,101.77039097967713,1368.5923318074856,0.06325426550145652,74.27349412387022,0.012055450678573021,0.2566481655413992,0.004207794602469509,0.004207794602469509,139.1991531420606,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.543351834458601,False,False,24.0,23.1,24.0,19.650000000000002,40.0,23.1,0,74.7954309912982,2.5413419126131664,1.0,s4_narrow_passage_medium,M6,15
False,16.75,0.585748479964072,0.2671075663986669,True,101.81866627972096,1365.393098371767,0.05846858094049105,73.93606290801026,0.0102645064264312,0.260672419721436,0.0065466159842685855,0.0065466159842685855,139.08374120788736,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539327580278564,False,False,23.0,22.400000000000002,23.0,19.450000000000003,40.0,23.3,0,74.80260844515529,2.541342713688981,1.0,s4_narrow_passage_medium,M6,16
False,16.7,0.6850497725683018,0.2594143812818107,True,104.03963031766966,1493.1545699468793,0.060965459841864335,75.28958303731201,0.010268449517621113,0.26068935945975236,0.006569158779659273,0.006569158779659273,141.08859603252807,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393106405402475,False,False,22.8,22.35,22.8,19.400000000000002,40.0,23.35,0,74.82571181940654,2.541330028775555,1.0,s4_narrow_passage_medium,M6,17
False,16.95,0.6373674899616584,0.2618124222809376,True,102.46542363035913,1435.9284186659518,0.05826050769870995,73.69383651466983,0.010263100885146237,0.2606679377121051,0.006539040250839866,0.006539040250839866,140.11356377131136,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.5393320622878948,False,False,22.950000000000003,22.650000000000002,22.950000000000003,19.650000000000002,40.0,23.1,0,74.80700898375562,2.5413432560500326,1.0,s4_narrow_passage_medium,M6,18
False,16.650000000000002,0.6373439155688396,0.26873939496531046,True,102.61941437235441,1407.411878524701,0.0599250936329588,75.24411767722347,0.01026897079775174,0.26068798836797474,0.006573907654366598,0.006573907654366598,139.92695839340246,0,0.0,True,True,True,False,True,False,False,True,True,True,False,2.539312011632025,False,False,22.85,22.75,22.85,19.450000000000003,40.0,23.400000000000002,0,74.81420514630832,2.541343247035592,1.0,s4_narrow_passage_medium,M6,19
