success,completion_time,min_obs_distance,min_agent_distance,collisions,control_cost,control_smoothness,input_saturation_ratio,max_angle_gap_deg,radius_variance,mean_radius,current_center_error,predicted_center_error,path_length,stall_steps,convoy_ratio,inside_any,inside_final,gmax_success,radius_success,sigma_success,no_collision,obs_collision,agent_collision,dwell_success,dwell_geom_success,dwell_success_no_collision,radius_error_final,success_geom_final,success_no_collision,gmax_reach_time,time_to_inside,time_to_gmax,time_to_radius,time_to_full_geom,success_hold_time,post_success_violation_count,last_10s_gmax_mean,last_10s_radius_error_mean,last_10s_inside_rate,scene,method,seed
False,50.0,inf,0.8671006810503857,False,26.46715349851108,0.8841906242914827,0.08108558108558109,60.000000113479246,8.344681563684604e-19,1.040088567492021,1.634402738098824e-09,1.634402738098824e-09,30.035499531629583,838,0.0,True,True,True,False,True,True,False,False,False,False,False,0.6599114325079789,False,True,0.0,0.0,0.0,3.4000000000000004,3.4000000000000004,0.0,0,60.000000113479246,0.6599114325079789,1.0,s3_static_encirclement,M4,0
True,3.35,inf,0.8691090077510162,False,26.35013478644678,0.8536104791107222,0.08058608058608059,60.000000112524546,8.365808281216703e-19,1.040088567492021,1.6283767021674743e-09,1.6283767021674743e-09,30.068164030446404,836,0.0,True,True,True,False,True,True,False,False,True,True,True,0.6599114325079789,False,True,0.0,0.0,0.0,3.35,3.35,1.05,1,60.00000011252454,0.6599114325079789,1.0,s3_static_encirclement,M4,1
True,3.35,inf,0.8521469497735467,False,26.444637115065696,0.8554967026160554,0.08091908091908091,60.000000113936125,8.408753766139338e-19,1.040088567492021,1.6401848788417354e-09,1.6401848788417354e-09,30.193151738623843,835,0.0,True,True,True,False,True,True,False,False,True,True,True,0.6599114325079789,False,True,0.0,0.0,0.0,3.35,3.35,1.1,1,60.000000113936146,0.6599114325079789,1.0,s3_static_encirclement,M4,2
True,3.35,inf,0.86707364311385,False,26.220597920187146,0.7382670353243379,0.08041958041958042,60.00000011358136,8.313761917497509e-19,1.040088567492021,1.6323059635146893e-09,1.6323059635146893e-09,29.81743595608091,837,0.0,True,True,True,False,True,True,False,False,True,True,True,0.6599114325079789,False,True,0.0,0.0,0.0,3.35,3.35,1.0,1,60.00000011358134,0.6599114325079789,1.0,s3_static_encirclement,M4,3
True,3.4000000000000004,inf,0.8750115286045186,False,26.482198304564697,0.8179924424149453,0.08125208125208125,60.00000011173066,8.306822412872378e-19,1.040088567492021,1.6230068225659435e-09,1.6230068225659435e-09,30.110681669646482,836,0.0,True,True,True,False,True,True,False,False,True,True,True,0.6599114325079789,False,True,0.0,0.0,0.0,3.4000000000000004,3.4000000000000004,1.0,1,60.00000011173064,0.6599114325079789,1.0,s3_static_encirclement,M4,4
True,3.4000000000000004,inf,0.7091173533743204,False,25.269099646815164,0.39534224771157833,0.07109557109557109,60.000054437415876,3.742578095087242e-15,0.8968179784616316,4.737356014010281e-07,4.737356014010281e-07,29.08485370863953,844,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383684,False,True,0.0,0.0,0.0,3.4000000000000004,3.4000000000000004,1.05,1,60.00032474193071,0.8031820215286005,1.0,s3_static_encirclement,M6,0
True,3.35,inf,0.709298543972642,False,25.10379924300753,0.39497163795090107,0.07026307026307026,60.00005649973061,4.065304012768099e-15,0.8968179784616468,4.937126735855793e-07,4.937126735855793e-07,28.98953691480254,842,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383532,False,True,0.0,0.0,0.0,3.35,3.35,1.1,1,60.000337115479724,0.8031820215277405,1.0,s3_static_encirclement,M6,1
True,3.35,inf,0.7215757740773007,False,25.18675979956388,0.3961132566364945,0.07092907092907093,60.00005796059978,4.2158729886144974e-15,0.8968179784616529,5.028561047386597e-07,5.028561047386597e-07,29.10279803957512,841,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383471,False,True,0.0,0.0,0.0,3.35,3.35,1.1,1,60.00034587704626,0.8031820215273392,1.0,s3_static_encirclement,M6,2
True,3.35,inf,0.72190444241155,False,24.98535022551008,0.32637660723004436,0.0700965700965701,60.00005627748838,3.972637518072813e-15,0.8968179784616418,4.88125651397251e-07,4.88125651397251e-07,28.848474097862386,843,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383582,False,True,0.0,0.0,0.0,3.35,3.35,1.05,1,60.000335780819896,0.8031820215279879,1.0,s3_static_encirclement,M6,3
True,3.4000000000000004,inf,0.6938919951115782,False,25.223894330923244,0.3904523063838637,0.07059607059607059,60.00005545144783,3.959219552432604e-15,0.8968179784616428,4.871623007402349e-07,4.871623007402349e-07,29.080979629987805,842,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383572,False,True,0.0,0.0,0.0,3.4000000000000004,3.4000000000000004,1.05,1,60.000330832311384,0.8031820215280219,1.0,s3_static_encirclement,M6,4
True,3.4000000000000004,inf,0.7091173533743204,False,25.269099646815164,0.39534224771157833,0.07109557109557109,60.000054437415876,3.742578095087242e-15,0.8968179784616316,4.737356014010281e-07,4.737356014010281e-07,29.08485370863953,844,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383684,False,True,0.0,0.0,0.0,3.4000000000000004,3.4000000000000004,1.05,1,60.00032474193071,0.8031820215286005,1.0,s3_static_encirclement,M7,0
True,3.35,inf,0.709298543972642,False,25.10379924300753,0.39497163795090107,0.07026307026307026,60.00005649973061,4.065304012768099e-15,0.8968179784616468,4.937126735855793e-07,4.937126735855793e-07,28.98953691480254,842,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383532,False,True,0.0,0.0,0.0,3.35,3.35,1.1,1,60.000337115479724,0.8031820215277405,1.0,s3_static_encirclement,M7,1
True,3.35,inf,0.7215757740773007,False,25.18675979956388,0.3961132566364945,0.07092907092907093,60.00005796059978,4.2158729886144974e-15,0.8968179784616529,5.028561047386597e-07,5.028561047386597e-07,29.10279803957512,841,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383471,False,True,0.0,0.0,0.0,3.35,3.35,1.1,1,60.00034587704626,0.8031820215273392,1.0,s3_static_encirclement,M7,2
True,3.35,inf,0.72190444241155,False,24.98535022551008,0.32637660723004436,0.0700965700965701,60.00005627748838,3.972637518072813e-15,0.8968179784616418,4.88125651397251e-07,4.88125651397251e-07,28.848474097862386,843,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383582,False,True,0.0,0.0,0.0,3.35,3.35,1.05,1,60.000335780819896,0.8031820215279879,1.0,s3_static_encirclement,M7,3
True,3.4000000000000004,inf,0.6938919951115782,False,25.223894330923244,0.3904523063838637,0.07059607059607059,60.00005545144783,3.959219552432604e-15,0.8968179784616428,4.871623007402349e-07,4.871623007402349e-07,29.080979629987805,842,0.0,True,True,True,False,True,True,False,False,True,True,True,0.8031820215383572,False,True,0.0,0.0,0.0,3.4000000000000004,3.4000000000000004,1.05,1,60.000330832311384,0.8031820215280219,1.0,s3_static_encirclement,M7,4
