method,t_pred,beta_lead,r_c,success_rate,collision_rate,completion_time_mean,current_center_error_mean,predicted_center_error_mean,input_sat_mean,gmax_mean,gmax_reach_time_mean
M4,1.3,0.5,2.8,0.0,1.0,60.0,2.239719321387415,3.24878747921703,0.3699232121380331,299.2132337883748,60.0
M4,1.0,0.5,2.8,0.0,1.0,60.0,2.359627621529221,3.135834362564681,0.3615505597187529,302.6439874031781,60.0
M4,1.3,0.35,2.8,0.0,1.0,60.0,2.387249268344466,3.396317041415258,0.3593301878064576,302.5577916569733,60.0
M4,1.0,0.35,2.8,0.0,1.0,60.0,2.4728253727345186,3.249031901105543,0.35345545378850957,305.0378966242557,60.0
M4,0.7,0.5,2.8,0.0,1.0,60.0,2.479787557985822,3.0231325559057503,0.3533629382921639,305.8993942397475,60.0
M4,0.7,0.35,2.8,0.0,1.0,60.0,2.5587764502449697,3.1021213526616838,0.34785826625959854,307.39346348111974,60.0
M4,1.3,0.5,3.2,0.0,1.0,60.0,2.650594830755921,3.6596634851403955,0.34119715052271254,310.88890062542123,60.0
M4,0.0,0.35,2.8,0.0,1.0,60.0,2.7609527055106633,2.7609527055106633,0.33435100379313537,312.38573140711424,60.0
M4,0.0,0.5,2.8,0.0,1.0,60.0,2.760952705510668,2.760952705510668,0.33435100379313537,312.3857314071142,60.0
M4,1.0,0.5,3.2,0.0,1.0,60.0,2.7695852402470194,3.5457926890703355,0.3330095290961236,313.03951107932016,60.0
M4,1.3,0.35,3.2,0.0,1.0,60.0,2.799236726528564,3.8083054176971913,0.33083541493200114,313.11824543820444,60.0
M4,1.0,0.35,3.2,0.0,1.0,60.0,2.882048544047167,3.6582557265247586,0.3251919696549172,314.65895687614915,60.0
M4,0.7,0.5,3.2,0.0,1.0,60.0,2.886540808293276,3.429886167700063,0.3250531964103987,314.16744279118916,60.0
M4,0.7,0.35,3.2,0.0,1.0,60.0,2.9662403423691033,3.5095856608689253,0.319363493385142,315.1917166852181,60.0
M4,1.3,0.5,3.6,0.0,1.0,60.0,3.0571449256404883,4.066214384592892,0.3127023776482561,317.1370508123766,60.0
M4,0.0,0.5,3.2,0.0,1.0,60.0,3.165212047490772,3.165212047490772,0.3059487464150245,318.52939200910345,60.0
M4,0.0,0.35,3.2,0.0,1.0,60.0,3.165212047490774,3.165212047490774,0.3059487464150245,318.52939200910345,60.0
