eta_min,sigma_omega,k_t,r0,lambda_curl,success_rate,collision_rate,completion_time_mean,min_obs_distance_mean,min_agent_distance_mean,gmax_mean,radius_var_mean,input_sat_mean,control_smoothness_mean,stall_steps_mean,inside_any_rate,inside_final_rate,gmax_success_rate,radius_success_rate,sigma_success_rate,no_collision_rate,dwell_success_rate,success_geom_final_rate,gmax_reach_time_mean
0.05,3.0,0.6,1.2,0.3,0.0,1.0,28.700000000000003,0.7288529748339994,0.20648577968669393,72.62365163080185,0.012702599321893713,0.027338329170135997,2651.3089824200456,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.5
0.05,3.0,0.6,1.2,0.5,0.0,1.0,28.1,0.7274028039559186,0.20230057716449734,72.64676528998197,0.012703775275427766,0.035248404107688036,3149.088910900876,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.900000000000002
0.05,3.0,0.6,1.2,0.7,0.0,1.0,28.0,0.7223871949462672,0.20211522646105043,72.69018082354327,0.01270640781416931,0.041909519844573966,3795.975245743944,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.75
0.05,3.0,0.6,1.5,0.3,0.0,1.0,29.700000000000003,0.7283862862418691,0.21235729030716746,72.58014292612023,0.012849946207707482,0.02844851512628365,2613.277262145318,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.0
0.05,3.0,0.6,1.5,0.5,0.0,1.0,29.25,0.727893189025324,0.203619987793085,72.59062959557717,0.012850342061607576,0.03566472384124341,3105.8986366373283,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.1
0.05,3.0,0.6,1.5,0.7,0.0,1.0,29.1,0.7232132028833063,0.209658247719279,72.66136464633584,0.012853514998409156,0.04274215931168471,3838.2791643993464,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.900000000000002
0.05,3.0,0.6,1.8,0.3,0.0,1.0,31.1,0.7287323850826002,0.2574899223133128,72.6707923532421,0.012946892471272666,0.029558701082431308,2508.873272520317,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.6
0.05,3.0,0.6,1.8,0.5,0.0,1.0,30.55,0.7276268067694562,0.20693257869444315,72.60370252376134,0.012943606644676905,0.03608104357479878,3156.9752150466534,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.8
0.05,3.0,0.6,1.8,0.7,0.0,1.0,30.450000000000003,0.7234075855661624,0.2159090274909612,72.6760776042407,0.012947222987113921,0.043158479045240075,3915.459302049597,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.75
0.05,3.0,0.9,1.2,0.3,0.0,1.0,27.150000000000002,0.7285683607916129,0.20699473314898556,72.59944527108827,0.013379013856687551,0.028032195392728283,2679.3069629464844,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.05
0.05,3.0,0.9,1.2,0.5,0.0,1.0,26.700000000000003,0.7279223297491912,0.22034758834677234,72.61112967198619,0.013386620478510752,0.034415764640577294,3211.6419584576697,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.8
0.05,3.0,0.9,1.2,0.7,0.0,1.0,26.6,0.7230143833882037,0.2234789352555667,72.60595975721658,0.01338283378382323,0.04301970580072162,3813.342835433804,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.75
0.05,3.0,0.9,1.5,0.3,0.0,1.0,28.25,0.7285298926214516,0.23433911940830215,72.51367102167113,0.013516842995847338,0.026228143213988343,2628.273890354692,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.0
0.05,3.0,0.9,1.5,0.5,0.0,1.0,27.900000000000002,0.7275404727568395,0.22802060776435493,72.66955687161338,0.013803830915033156,0.03358312517346656,3164.7502377088767,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.55
0.05,3.0,0.9,1.5,0.7,0.0,1.0,27.900000000000002,0.7228931214812364,0.22391841068306753,72.56654553070744,0.01352330423140305,0.04177074660005551,3858.0741095010053,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.150000000000002
0.05,3.0,0.9,1.8,0.3,0.0,1.0,29.700000000000003,0.7285908847842706,0.23272130660493198,72.66619793139421,0.01383485543603076,0.028032195392728283,2499.365113050045,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.650000000000002
0.05,3.0,0.9,1.8,0.5,0.0,1.0,29.3,0.727261876217377,0.2282892086270703,72.67105229550063,0.013830500716144436,0.03510963086316958,3138.9323555908873,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.5
0.05,3.0,0.9,1.8,0.7,0.0,1.0,29.25,0.7241350305143117,0.23213188590356598,72.66922281443597,0.013833999341146387,0.041909519844573966,3865.5304105570794,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,29.0
0.05,3.0,1.2,1.2,0.3,0.0,1.0,26.25,0.7287510981422274,0.2639083825294675,73.31263680443043,0.013217220271975414,0.028864834859839022,2630.440872952606,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.150000000000002
0.05,3.0,1.2,1.2,0.5,0.0,1.0,25.85,0.7274881347923905,0.23109631862655092,72.39468814019186,0.014286003647569408,0.03594227033028032,2956.081055675857,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.0
0.05,3.0,1.2,1.2,0.7,0.0,1.0,25.75,0.7220623877549255,0.2414856653365273,72.39087923310564,0.014293992876928644,0.04329725228975854,3505.9354032597357,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,26.8
0.05,3.0,1.2,1.5,0.3,0.0,1.0,27.35,0.7283655193919321,0.25076104717260767,74.43051462817486,0.01604349407322043,0.029697474326949764,2481.727131012421,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.0
0.05,3.0,1.2,1.5,0.5,0.0,1.0,27.0,0.7274417983286579,0.24959983585077788,72.8197941978103,0.013868728442148122,0.03635859006383569,2995.2419657156993,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.6
0.05,3.0,1.2,1.5,0.7,0.0,1.0,27.0,0.7226388365753207,0.27584697567545924,73.95835021254962,0.01606360933087828,0.0446849847349431,3703.343671072223,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,27.650000000000002
0.05,3.0,1.2,1.8,0.3,0.0,1.0,28.75,0.7287396303039302,0.24991189735906744,73.64950530933133,0.014288700595445842,0.03025256730502359,2412.2175719855704,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.700000000000003
0.05,3.0,1.2,1.8,0.5,0.0,1.0,28.450000000000003,0.7276505354607934,0.2565355491195405,74.12690330623857,0.014300031908894091,0.038301415487094086,2956.402900476975,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.55
0.05,3.0,1.2,1.8,0.7,0.0,1.0,28.400000000000002,0.7241585275768296,0.2515958754597339,73.66915318956796,0.016437804873680375,0.04579517069109076,3668.3100258892446,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,28.400000000000002
0.05,5.0,0.6,1.2,0.3,0.0,1.0,31.1,0.7284417529555267,0.2011181222176818,72.68979645731757,0.012706475152008739,0.02941992783791285,2577.2244898199015,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,31.35
0.05,5.0,0.6,1.2,0.5,0.0,1.0,30.35,0.7272204498562445,0.2132461151461887,72.66355166135675,0.012704752600267573,0.03649736330835415,3182.9471941426673,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,30.6
